proj_no,project_title,approval_number,Type,status
39172-012,LOGISTICS DEVELOPMENT & CAPACITY BUILDING IN XUAR,4873,TA,FIN COMPL
40596-012,BUILDING CAPACITY FOR INDEPENDENT CPS & CPA RESULTS MGT-A PACIFIC PILT,4883,TA,FIN COMPL
36343-013,CAPACITY BUILDING FOR RURAL COOPERATIVE CREDIT STRUCTURE REFORM,4887,TA,FIN COMPL
37256-032,CAPACITY DEVELOPMENT OF FEMALE COMMUNE COUNCIL NETWORKS,4892,TA,FIN COMPL
34304-012,"KATHMANDU VALLEY WATER DISTRIBUTION, SEWERAGE AND URBAN DEVELOPMENT PJ",4893,TA,FIN COMPL
38412-012,NORTH EASTERN INTEGRATED FLOOD AND RIVERBANK EROSION MANAGEMENT PJT,4896,TA,FIN COMPL
40580-012,SUPPORT TO THE AFGHANISTAN NATIONAL DEVELOPMENT STRATEGY,4897,TA,FIN COMPL
40102-012,CAPACITY BUILDING FOR TAXATION REFORMS,4902,TA,FIN COMPL
40621-012,VIET NAM WATER SECTOR REVIEW,4903,TA,FIN COMPL
35312-012,SECTOR-WIDE APPROACH IN EDUCATION SECTOR DEVELOPMENT,4907,TA,FIN COMPL
40608-012,STRENGTHENING THE PENSION SYSTEM,4910,TA,FIN COMPL
39538-012,STATE-OWNED ENTERPRISE REFORM & CORPORATE GOVERNANCE FACILITATION PJT,4911,TA,FIN COMPL
38612-012,SUPPORT TO GOVERNANCE REFORMS,4922,TA,FIN COMPL
39257-012,FACILITY FOR POLICY REFORM AND POVERTY REDUCTION,4933,TA,FIN COMPL
40635-012,GANSU RURAL CLEAN ENERGY DEVELOPMENT PROJECT,4935,TA,FIN COMPL
40682-012,PREPARING THE INTEGRATED RENEWABLE BIOMASS ENERGY DEVT PROJECT,4939,TA,FIN COMPL
39015-022,BUSINESS PROCESS REENGG & CHANGE MGMNT FOR TAX ADMIN MODERNIZATION,4940,TA,FIN COMPL
39151-012,INFRASTRUCTURE PROJECT MANAGEMENT,4942,TA,ACTIVE
40563-013,CAP.BLDG FOR INSTITUTIONS RELATED TO EARHTQUAKE RECONSTRUCTION&REHAB,4943,TA,FIN COMPL
40280-012,SUPPORT FOR ECONOMIC POLICY MANAGEMENT,4964,TA,ACTIVE
40208-012,CAPACITY BUILDING ON ENVIRONMENTAL MANAGEMENT TO THE POWER SECTOR,4966,TA,FIN COMPL
40665-012,SONGHUA RIVER BASIN WATER POLLUTION CONTROL AND MANAGEMENT PROJECT,4971,TA,FIN COMPL
41022-012,"IMPRVED WATER QLTY,SANITATN,&SERV DELVRY IN EMRGING TWNS SECT DEV PROG",4972,TA,FIN COMPL
40355-012,PREPARING THE THANH HOA CITY COMPREHENSIVE SOCIOECONOMIC DEVT PROJECT,4976,TA,FIN COMPL
41124-012,IMPLEMENTATION SUPPORT FOR THE PRIVATE SECTOR DEVT STRATEGY IN TAJ,4978,TA,FIN COMPL
37017-013,SUPPORTING THE GOOD GOVERNANCE PROGRAM,4983,TA,FIN COMPL
41055-012,PREPARING THE WEST SETI HYDROELECTRIC PROJECT,4985,TA,FIN COMPL
41596-012,DEPLOYING INNOVATIVE INFO&COMM TECH FOR SPPRTING E-GOVERNANCEIN ASSAM,4989,TA,FIN COMPL
38183-013,IMPLEMENTING THE SAMOA NATIONAL ENERGY POLICY (COMPONENT 3),4994,TA,FIN COMPL
34389-013,FINANCIAL SECTOR PROGRAM II IMPLEMENTATION,4999,TA,FIN COMPL
N/A-N/A,REGIONAL TRAINING PROGRAM IN VEGETABLE PRODUCTION & RESEARCH,5253,TA,FIN COMPL
N/A-N/A,RESEARCH ON MGT. OF SLOPING LANDS FOR SUSTAINABLE AGRICULTURE,5284,TA,FIN COMPL
N/A-N/A,PREPARATION OF WOMEN IN DEVELOPMENT,5288,TA,FIN COMPL
N/A-N/A,STUDY ON DOMESTIC SHALLOW WELL WATER SUPPLIES-UNDP FINANCED,5311,TA,FIN COMPL
N/A-N/A,ECO POL FOR SUSTNBLE DEV-IMPLMNTG THE BRUNTLAND COMM RECOM IN SEL DMC,5339,TA,FIN COMPL
N/A-N/A,PRIORITY ISSUES&POLICY MEASURES TO ALLEVIATE RURAL POVERTY(ADB/NORAD),5354,TA,FIN COMPL
N/A-N/A,SOUTHERN THAI-LAO MEKONG RIVER BRIDGE PROJECT(FRENCH T.A. GRANT),5367,TA,FIN COMPL
N/A-N/A,SEMINAR ON FINANCIAL INFORMATION FOR PROJECT MANAGERS,5392,TA,FIN COMPL
N/A-N/A,ASIAN ECONOMIC OUTLOOK-PROJECT LINK CONFERENCE,5395,TA,FIN COMPL
N/A-N/A,RGL TRAINING PROGRAM IN VEGETABLE PRODUCTION AND RESEARCH (PHASE III),5402,TA,FIN COMPL
N/A-N/A,SOCIO-ECO. INDICATORS TO REFLECT THE PARTICIPATION OF WOMEN IN DEV.,5404,TA,FIN COMPL
N/A-N/A,FORESTRY RES. SUPPORT PROG. FOR THE ASIA-PACIFIC REGION,5409,TA,FIN COMPL
N/A-N/A,REGIONAL STUDY ON GLOBAL ENVIRON'TAL ISSUES(JSF/NORWAY/AUSTRALIA/JAPAN,5463,TA,FIN COMPL
N/A-N/A,CRITICAL ISSUES AND POLICY MEASURES TO ADDRESS URBAN POVERTY(BANK/NETH,5479,TA,FIN COMPL
N/A-N/A,"PROMOTING SUBREG'L COOP'N AMONG CAM,PRC,LAO,MYA,THA&VIE(BANK/JSF/SWEDE",5535,TA,FIN COMPL
N/A-N/A,REGIONAL STUDY OF ENVIRONMENTAL INDICATORS AND INDEXES(ADB/NORWAY),5542,TA,FIN COMPL
N/A-N/A,DEV'T OF COMPUTERIZED ENVIRON'L IMPACT ASSESSMENT SYSTEMS(ADB/NORWAY),5544,TA,FIN COMPL
N/A-N/A,COASTAL & MARINE ENV'TAL MGT. IN SOUTH CHINA SEA(BANK/SWEDEN),5552,TA,FIN COMPL
N/A-N/A,REGIONAL INITIATIVES ON SOCIAL DEVELOPMENT AND WID,5564,TA,FIN COMPL
N/A-N/A,STUDY OF THE LAO-THAILAND-VIET NAM EAST-WEST TRANSPORT CORRIDOR(FRANCE,5586,TA,FIN COMPL
N/A-N/A,STUDY OF THE STAT OF FOR'TRY & FOREST IND. IN ASIAN & PAC REG(ADB/FIN),5591,TA,FIN COMPL
N/A-N/A,A STY OF A LEAST-COST GRNHOUSE GAS ABATEMENT STRA'GY FOR ASIA(BANK/GEF,5592,TA,FIN COMPL
N/A-N/A,"REG'L COMMUNITY FORESTRY TRNG CENTER IN KASETSART UNIV, (ADB/SWISS)",5595,TA,FIN COMPL
N/A-N/A,REG FORUM ON INDIGENOUS PEOPLES POL FORDEV ASSIS IN ASIA(BANK/WB/DUTCH,5637,TA,FIN COMPL
N/A-N/A,SUBREG'L ELECTRIC POWER FORUM-GREATER MEKONG SUBREG (NORWAY),5643,TA,FIN COMPL
N/A-N/A,MEETING OF TELECOM.OFFICIALS-GREATER MEKONG SUBREGION (AUSTRALIA),5645,TA,FIN COMPL
N/A-N/A,SUBREG ENVTL TRNG & INSTL STRNG-GRTR MEKONG SUBREG (JSF/FIN/NORWAY),5684,TA,FIN COMPL
N/A-N/A,SE KONG-SE SAN & NAM THEUN RIVER BASINS HYDROPWR DEVT STUDY (TASF/FRA),5697,TA,FIN COMPL
N/A-N/A,ACID RAIN EMISSION REDUCTION FOR ASIA-PHASE II (JSF/DENMARK),5702,TA,FIN COMPL
N/A-N/A,"COASTAL & MARINE ENVT'L MGMT IN THE SOUTH CHINA SEA, PHASE II (SWEDEN)",5712,TA,FIN COMPL
N/A-N/A,EAST LOOP TELECOMS PROJECT IN THE GREATER MEKONG SUBREGION_(FRANCE),5738,TA,FIN COMPL
N/A-N/A,EXTERNAL EVALUATION OF RETA 5592:  ALGAS PROJECT (NORWAY),5740,TA,FIN COMPL
N/A-N/A,THIRD MEETING OF THE SUBREGIONAL TELECOMMUNICATIONS FORUM (AUSTRALIA),5741,TA,FIN COMPL
N/A-N/A,COOP. IN THE PREVENTION & CONTROL OF HIV/AIDS IN THE GREATER MEKONG,5751,TA,FIN COMPL
N/A-N/A,ENHANCING MUNICIPAL SERVICE DELIVERY CAPABILITY IN SELECTED DMCS,5764,TA,FIN COMPL
N/A-N/A,STRATEGIC ENVIRONMENTAL FRAMEWORK FOR THE GREATER MEKONG SUBREGION JSF,5783,TA,FIN COMPL
N/A-N/A,REGIONAL WORKSHOPS ON INVOLUNTARY RESETTLEMENT (CO-FINANCED BY WB-EDI),5786,TA,FIN COMPL
N/A-N/A,STUDY OF THE HEALTH AND EDUCATION NEEDS OF ETHNIC MINORITIES IN GMS,5794,TA,FIN COMPL
N/A-N/A,CONSULTATIONS ON STRATEGIES FOR REDUCING POVERTY (TASF/DENMARK),5798,TA,FIN COMPL
N/A-N/A,PROTECTION & MGT OF CRITICAL WETLANDS IN LOWER MEKONG BASIN (JSF/FIN),5822,TA,FIN COMPL
N/A-N/A,CAPACITY BUILDING FOR WATER RESOURCES MGT IN SOUTHEAST ASIA (SIDA),5831,TA,FIN COMPL
31106-012,ENHANCING GENDER AND DEVELOPMENT CAPACITY IN DMCS (GOVT OF DENMARK),5835,TA,FIN COMPL
N/A-N/A,ESTABLISHMENT OF THE ASIA RECOVERY INFORMATION CENTER (AUSTRALIA),5848,TA,FIN COMPL
N/A-N/A,FINANCIAL SECTOR STUDY IN SELECTED PACIFIC DEVELOPING MEMBER COUNTRIES,5853,TA,FIN COMPL
N/A-N/A,SURVEYS ON COURT CONGESTION AND ACCESS TO JUSTICE (CO-FIN NETHERLANDS),5855,TA,CANCELLED
N/A-N/A,LEGAL LITERACY FOR SUPPORTING GOVERNANCE (GOVT OF NETHERLANDS),5856,TA,FIN COMPL
N/A-N/A,WORKSHOP ON CORPORATE GOVERNANCE AND FINANCING IN SELECTED DMC,5864,TA,FIN COMPL
N/A-N/A,WATER RESOURCES MANAGEMENT IN SOUTHEAST ASIA (PHASE 2) NETHERLANDS,5867,TA,FIN COMPL
33103-012,CAP BLDG FOR THE ASEAN SURVEILLANCE COORD UNIT-COFIN GOV OF AUSTRALIA,5870,TA,FIN COMPL
N/A-N/A,ORG & MGMNT OF GOV LEGAL SERVICES (COFIN BY GOV OF JAP AND THE NETH),5876,TA,FIN COMPL
N/A-N/A,REGIONAL COOP FOR SUSTAINABLE MOUNTAIN DEVT IN CENTRAL ASIA (SWI),5878,TA,FIN COMPL
33494-012,A SURVEY OF NONGOVT ORG CAPACITY BLDG NEEDS IN PACIFIC DMCS,5884,TA,FIN COMPL
N/A-N/A,IMPROVING THE ROLE OF LABOR STANDARDS IN SELECTED DMCS (NORWAY),5887,TA,FIN COMPL
N/A-N/A,"SUB-REG ENVIRONMENTAL MONITORING AND INFO SYSTEM (PHASE II) JSF,NORWAY",5899,TA,FIN COMPL
34092-012,REGL INDICATIVE MASTER PLAN ON POWER INTERCONNECTION IN THE GMS (NORW),5920,TA,FIN COMPL
33547-012,REGL ENVIRONMENTAL ACTION PLAN IN CENTRAL ASIA,5934,TA,FIN COMPL
34012-012,COMBATING DISERTIFICATION IN ASIA,5941,TA,FIN COMPL
34014-012,REGL INTIATVES TO ELIM MICRNUTRIENT MALNUTRITION IN ASIA (JSF/DANIDA),5944,TA,FIN COMPL
34410-012,FIFTH AGRICULTURE AND NATURAL RESOURCES RESEARCH AT CGIAR CENTERS,5945,TA,FIN COMPL
33529-012,IDENTIFYING DISABILITY ISSUES RELATED TO POVERTY REDUCTION,5956,TA,FIN COMPL
34206-012,"PROMOTION OF RENEWABLE ENERGY,ENERGY EFFICIENCY,& GREENHOUSE ABATEMENT",5972,TA,FIN COMPL
34522-012,"ASIA RECOVERY INFORMATION CENTER, PHASE II (AUSTRALIA)",5981,TA,FIN COMPL
35034-012,JUDICIAL INDEPENDENCE (COFINANCED BY GOVT OF NETHERLANDS),5987,TA,FIN COMPL
35062-012,REGIONAL CONSULTATIONS FOR THE THIRD WORLD WATER FORUM (JSF),6001,TA,FIN COMPL
35476-012,REGIONAL CONFERENCE ON NATIONAL POVERTY STRATEGIES (NPRC COOP FUND),6006,TA,FIN COMPL
35020-012,GENDER AND GOVERNANCE ISSUES IN LOCAL GOVT (JSF AND CIDA),6008,TA,FIN COMPL
35272-012,CLEAN AIR INITIATIVE FOR ASIAN CITIES (JSF),6016,TA,FIN COMPL
35472-012,A FRAMEWORK FOR ADB-NGO COOPERATION,6021,TA,FIN COMPL
36071-012,FOURTH ASIA DEVELOPMENT FORUM,6027,TA,FIN COMPL
35494-012,PROMOTING EFFECTIVE H20 MANAGEMENT POLICIES AND PRACTICES (CFWS),6031,TA,FIN COMPL
35469-012,FORMULATION OF THE PACIFIC REGION ENVIRONMENTAL STRATEGY 2004-2008,6039,TA,FIN COMPL
36068-012,NATL POVERTY REDN STRATEGIES IN PACIFIC DMCS (CFPR),6047,TA,FIN COMPL
36530-012,GREATER MEKONG SUBREGION PHNOM PENH PLAN FOR DEVELOPMENT MANAGEMENT,6056,TA,FIN COMPL
36622-012,PACIFIC FUND FOR STRATEGIC POVERTY ANALYSIS (DFID-PVRTY REDN COOP FND),6061,TA,FIN COMPL
36337-012,PUBLIC OPINION SURVEYS ON JUDICIAL INDEPENDENCE AND ACCOUNTABILITY GCF,6063,TA,FIN COMPL
36069-012,CLIMATE CHANGE ADAPTATION PROGRAM FOR THE PACIFIC (GOVT OF CANADA),6064,TA,FIN COMPL
36192-012,ASSESSING COMMUNITY PERSPECTIVES ON GOVERNANCE IN THE PACIFIC (GCF),6065,TA,FIN COMPL
36267-012,PREVENTION & CONTROL OF DUST & SANDSTORMS IN NORTHEAST ASIA (JSF/GEF),6068,TA,FIN COMPL
36037-012,NATL PERF ASSESSMENT & SUBRGL STRATEGIC ENV FRAMEWORK IN THE GMS,6069,TA,FIN COMPL
36584-012,DEVLPNG TOOLS 4 ASSESSING THE EFFCTIVNSS OF ADB OPER IN REDUCING POVRT,6073,TA,FIN COMPL
36046-022,ROAD SAFETY IN THE ASSOCIATION OF SOUTHEAST ASIAN NATIONS,6077,TA,FIN COMPL
36026-012,RURAL FINANCE IN CENTRAL ASIA,6078,TA,FIN COMPL
35467-012,PREPARING A PACIFIC GOVERNANCE STRATEGY,6085,TA,FIN COMPL
36633-012,STR & COLLECTN OF PURCHASING POWER PARITY DATA IN SELECTED DMS,6088,TA,FIN COMPL
31106-022,ENHANCING GENDER AND DEVELOPMENT CAPACITY IN DMCS PHASE 2 (DENMARK),6092,TA,FIN COMPL
36671-012,PROMOTING EFFECTIVE WATER MANAGEMENT POLICIES AND PRACTICES-PHASE 2,6093,TA,FIN COMPL
36666-012,SUPPORTING THE SECTOR APPROACH AND RESULTS-BASED MGMNT IN ADB OPERTNS,6096,TA,FIN COMPL
36259-012,RENEWABLE ENERGY AND ENERGY EFFICIENCY PROGRAM FOR THE PACIFIC,6102,TA,FIN COMPL
37229-012,EMERGENCY REGL SUPPORT TO ADDRESS THE OUTBREAK OF SARS,6108,TA,FIN COMPL
37116-012,NGO PARTNERSHIPS FOR POVERTY REDUCTION (PRCF),6109,TA,FIN COMPL
37042-012,MAKING MARKETS WORK BETTER FOR THE POOR (UK),6113,TA,FIN COMPL
36613-012,PVRTY REDN IN UPLAND COMM IN THE MEKONG REGION THRU IMPROVED FORESTRY,6115,TA,FIN COMPL
37289-012,PROMOTING KNOWLEDGE TRANSFER THRU DIASPORA NETWORKS (GCF),6117,TA,FIN COMPL
37130-012,PROMOTING NGO SUPPORT FOR POVERTY REDUCTION IN THE GREATER MEKONG SUBR,6118,TA,FIN COMPL
37104-022,SOCIAL PROTECTION INDEX FOR COMMITTED POVERTY REDUCTION (PRCF/CFPR),6120,TA,FIN COMPL
37150-012,PROMOTING EFFEC WATER MGNT POLICIES & PRACTICES - PHASE 3,6123,TA,FIN COMPL
37288-012,THE ADB-OSI CENTRAL ASIA EDUCATION COOPERATION NETWORK,6124,TA,FIN COMPL
37724-012,REGL WORKSHOP ON FORESTS & CLIMATE CHANGE: 9TH CONFERENCE OF PARTIES,6125,TA,FIN COMPL
36662-012,CIVIL SOCIETY PARTICIPATION IN BUDGET FORMULATION IN THE PACIFIC,6126,TA,FIN COMPL
37352-012,ASEAN+3 REGIONAL GUARANTEE MECHANISM,6127,TA,FIN COMPL
37655-012,STUDY OF URBAN VIOLENCE IN ASIA:TOWARDS MORE EFFECTIVE URBAN UPGRADING,6130,TA,FIN COMPL
36647-012,ASIA RECOVERY INFORMATION CENTER (PHASE III) (GOVT OF AUSTRALIA),6138,TA,FIN COMPL
37402-012,PROMOTING GENDER EQUALITY AND WOMEN'S EMPOWERMENT (GDCF),6143,TA,FIN COMPL
37221-012,BETTER AIR QUALITY MANAGEMENT IN ASIA,6144,TA,FIN COMPL
37715-012,POVERTY AND ENVIRONMENT PROGRAM,6150,TA,FIN COMPL
37105-012,CAP BLDG IN ENVIRNMNTL INFORMATION MNGMNT SYSTEMS IN CENTRAL ASIA,6155,TA,FIN COMPL
36664-012,STRENGTHENING POVERTY ANALYSIS AND STRATEGIES IN THE PACIFIC,6157,TA,FIN COMPL
38068-012,STUDY ON COOPERATION OPPORTUNITIES BETWEEN ADB & MEKONG RIVER COMMSSN,6167,TA,FIN COMPL
37296-012,PLT PROJ ON INSTNLZNG CVL SOCIETY PARTCPTN TO CREATE LOC PROPOOR BUDGT,6170,TA,FIN COMPL
37668-012,REVIEWING THE POVERTY IMPACT OF REGIONAL ECON INTEGRATION IN THE GMS,6171,TA,FIN COMPL
37670-012,MAKING RESOURCE ALLOCATION PRO-POOR AND PARTICIPATORY IN THE PACIFIC,6175,TA,FIN COMPL
37748-012,BUILDING CAPACITY FOR PARTICIPATORY APPROACHES TO POVERTY REDUCTION,6176,TA,FIN COMPL
38050-012,MAINSTREAMING GENDER INTO POVERTY REDUCTION STRATEGIES IN FOUR CARS,6177,TA,FIN COMPL
38165-012,DEVELOPMENT OF INTL PRUDENTIAL STANDARDS FOR ISLAMIC FINANCIAL SERVICE,6182,TA,FIN COMPL
38253-012,REG WRKSHPS PRPRTN FOR THE 2ND HIGH LV FRM ON HARMONIZATION & ALIGNMNT,6185,TA,FIN COMPL
38086-012,ESTABLISHING LEGAL IDENTITY FOR SOCIAL INCLUSION,6188,TA,FIN COMPL
37667-012,PREVENTNG TRAFFICKNG OF WOMEN & CHILDRN & PROMOTNG SAFE MIGRATN IN GMS,6190,TA,FIN COMPL
37621-012,GREATER MEKONG SUBREGION REGIONAL COMMUNICABLE DISEASES CONTROL,6194,TA,FIN COMPL
38538-012,PROMOTING EFFECTIVE WATER MANAGEMENT POLICIES & PRACTICES - PHASE 4,6219,TA,FIN COMPL
38616-012,LEADERSHIP ENHANCEMENT AND ADVANCEMENT PROGRAM,6222,TA,FIN COMPL
38082-012,PILOT TEST PARTCPATRY ASSESS METHODOLOGIES FOR SUST & EQTBL WTR SUPPLY,6224,TA,FIN COMPL
38591-012,REGIONAL ENVIRONMENTAL COMPLIANCE & ENFORCEMENT NETWORK (GCF),6234,TA,FIN COMPL
38173-012,CENTRAL ASIAN COUNTRIES INITIATIVE FOR LAND MANAGEMENT (GEF & GM),6236,TA,FIN COMPL
37624-012,GREATER MEKONG SUBREGION PHNOM PENH PLAN FOR DEVELOPMENT MANAGEMENT II,6237,TA,FIN COMPL
38330-012,DEV NEW POLICY PARADIGMS FOR SUST LIVELIHOODS PROTECTN & NAT RES MGT,6242,TA,FIN COMPL
39040-012,STRENGTHENING MALARIA CONTROL FOR ETHNIC MINORITIES (PRCF),6243,TA,FIN COMPL
38646-012,STRENGTHENING PRO-POOR POLICY IN THE PACIFIC,6245,TA,FIN COMPL
36228-022,HIV/AIDS VULNERABILITY & RISK REDUCTION AMONG ETHNIC MINORITY GROUPS,6247,TA,FIN COMPL
38565-012,LEGAL EMPOWERMENT FOR WOMEN & DISADVANTAGED GROUPS,6248,TA,FIN COMPL
37449-013,AVIATION SAFETY LEGISLATIVE & REGULATORY REVIEW,6259,TA,FIN COMPL
38081-012,SOCIOECONOMIC IMPACT OF ROAD CRASHES,6260,TA,CANCELLED
39578-012,ENERGY EFFICIENCY INITIATIVE CONSULTATION WORKSHOP,6261,TA,FIN COMPL
38075-012,ENHANCING THE DEVT EFFECTIVENESS OF THE GMS ECONOMIC COOPERATN PROGRAM,6262,TA,FIN COMPL
39124-012,IMPLEMENTING PILOT PROJECTS FOR SMALL PIPED WATER NETWORKS,6265,TA,FIN COMPL
39096-012,ENHANCING THE BUSINESS ENVIROMENT OF THE GREATER MEKONG SUBREGION,6266,TA,FIN COMPL
39083-012,ESTABLISHMENT OF THE CAREC MEMBERS ELECTRICITY REGULATORS FORUM,6267,TA,FIN COMPL
39206-012,FACILITATING KNOWLEDGE MANAGEMENT FOR PRO-POOR POLICIES AND PROJECTS,6270,TA,FIN COMPL
39615-022,PUBLIC POLICY TRAINING PROGRAM (JFPPT),6277,TA,FIN COMPL
39035-012,INNOVATIVE INFO & COMM TECH IN EDUC & ITS POTNTIAL FOR REDUCING POVRTY,6278,TA,FIN COMPL
39109-012,DEVELOPMENT OF CATASTROPHE RISK INSURANCE MECHANISM,6284,TA,FIN COMPL
39186-012,STRENGTHNING COUNTRY SAFEGUARD SYSTEMS,6285,TA,FIN COMPL
39585-012,CAP BLDG OF PS FINCL INSTITUTIONS IN MTG ENVIROMENTL & SOCIAL CHALLEGN,6286,TA,FIN COMPL
39507-012,CAPACITY BUILDING FOR REGIONAL COOPERATION IN CENTRAL ASIA,6288,TA,FIN COMPL
39025-012,CORE ENVT PRGM & BIODIVERSITY CONSERVATION CORRIDORS INITIATIVE IN GMS,6289,TA,FIN COMPL
39342-012,ROLLING OUT AIR QUALITY MANAGEMENT IN ASIA,6291,TA,FIN COMPL
39340-012,PROMOTING ENVIROMENTAL INVESTMENT IN ASIA AND THE PACIFIC,6292,TA,FIN COMPL
39185-012,MANAGING THE CITIES IN ASIA,6293,TA,ACTIVE
37409-012,DEVELOPING PRO-POOR GOVERNANCE CAPABILITY AND KNOWLEDGE,6296,TA,FIN COMPL
39594-012,GMS: PROWER TRADE COORDINATION AND DEVELOPMENT,6304,TA,FIN COMPL
39601-012,MAINSTREAMING MFDR IN SUPPORT OF POVERTY REDUCTION IN SOUTH ASIA,6306,TA,FIN COMPL
37523-012,IMPLEMENTATION OF THE GMS CROSS-BORDER TRANSPORT AGREEMENT,6307,TA,FIN COMPL
39261-012,SCALING UP OF THE SOCIAL PROTECTION INDEX FOR COMMITTED POVERTY REDCTN,6308,TA,FIN COMPL
39084-012,DEVELOPMENT STUDY OF GMS ECONOMIC CORRIDORS,6310,TA,FIN COMPL
39662-022,PREVENTION & CONTROL OF AVIAN INFLUENZA IN ASIA & THE PACIFIC,6313,TA,FIN COMPL
40038-012,REMITTANCES AND POVERTY IN CENTRAL ASIA AND SOUTH CAUSCASUS,6315,TA,FIN COMPL
39334-012,ASIAN DEVELOPMENT COMMUNITY BROADCASTING INITIATIVE,6316,TA,FIN COMPL
40104-012,FIGHTING HIV/AIDS IN ASIA AND THE PACIFIC-SUBPROJECT 3,6321,TA,FIN COMPL
36620-012,EXPANSION OF SUBREGIONAL COOPERATION IN AGRICULTURE IN THE GMS,6324,TA,FIN COMPL
38539-012,PROMOTING EFFECTIVE WATER MANAGEMENT POLICIES AND PRACTICES - PHASE 5,6325,TA,FIN COMPL
39094-012,SUPPORT TO TRADE FACILITATION AND CAPACITY BUILDING IN THE GMS,6328,TA,FIN COMPL
40124-012,DEVELOPMENT PARTNERSHIP PROGRAM FOR SOUTH ASIA,6337,TA,FIN COMPL
40040-012,PARTNERSHIP ON POP PESTICIDES MGT FOR AGRICULTURAL PRODUCTION IN CAC,6339,TA,FIN COMPL
40271-012,SUPPORT PREPARATIONS FOR THE CAREC BUSINESS DEVELOPMENT FORUM,6340,TA,FIN COMPL
39309-012,TECHNICAL TRAINING & CAPACITY BLDG FOR SELECTED ASEAN+3 CTRY ON REFM,6342,TA,FIN COMPL
40246-012,"CAP BLDG FOR DESIGNNG, NEGOTIATNG & IMPLEMNTNG FTAS IN SLCTD ASIAN DMC",6345,TA,FIN COMPL
39199-012,PROCESS DEVELOPMENT FOR PREPARING AND IMPLEMENTING IWRM PLANS,6351,TA,FIN COMPL
39553-012,ENHANCEMENT OF SUBREGIONAL COOPERATION IN BIMP-EAGA AND IMT-GT,6352,TA,FIN COMPL
37662-012,PRIVATE SECTOR DEVELOPMENT INITIATIVE,6353,TA,FIN COMPL
38464-012,CMPF SUPPORT PROJECT,6357,TA,FIN COMPL
40054-012,SASEC INFORMATION HIGHWAY,6358,TA,FIN COMPL
38639-012,STRENGTHENING GOVERNANCE & ACCOUNTABILITY IN PACIFIC ISLAND COUNTRIES,6360,TA,FIN COMPL
39313-012,ASEAN+3 REGIONAL GUARANTEE & INVESTMENT MECHANISM PHASE 2,6373,TA,FIN COMPL
40624-012,CAPACITY DEVT FOR REG COOPERATION IN CAREC PARTICIPATING COUNTRIES 1,6375,TA,FIN COMPL
40571-012,SECOND ASEAN+3 SEMINAR ON POVERTY REDUCTION,6382,TA,FIN COMPL
40620-012,"ESTBLSHNG RENWBLE ENERGY, ENERGY EFFICIENCY & GHG MITIGATION INV FUNDS",6384,TA,FIN COMPL
40303-012,CAPACITY BUILDING FOR SUSTAINABLE INVESTMENT AND GOVERNANCE IN THE,6386,TA,FIN COMPL
41001-022,CENTRAL ASIA REGIONAL ECONOMIC COOPERATION MMBRS ELCTRCTY RGLTRS FORUM,6389,TA,FIN COMPL
39092-012,TRNSBNDRY ANML DSEASE CNTRL FOR PVRTY RDCTION IN THE GRTR MEKONG SBRGN,6390,TA,ACTIVE
39558-012,GREATER MEKONG SUBREGION PHNOM PENH PLAN FOR DEVT MANAGEMENT III,6407,TA,FIN COMPL
41043-012,SUPPORT FOR CIQS HARMONIZATION IN THE BIMP-EAGA,6408,TA,FIN COMPL
37485-012,"STRENGTHENING CENTRAL ASIA REGIONAL ECONOMIC COOPERATION, 2007-2011",6409,TA,FIN COMPL
41094-012,CAPACITY DEVELOPMENT FOR MONITORING AND EVALUATION,6410,TA,FIN COMPL
41142-012,PUBLIC POLICY TRAINING PROGRAM 2007-2010,6412,TA,FIN COMPL
40329-012,STRENGTHENING HUMAN RESOURCES DEVT COOPERATION IN THE GMS,6413,TA,FIN COMPL
40292-012,A DEVELOPMENT FRAMEWORK FOR SUSTAINABLE URBAN TRANSPORT,6416,TA,FIN COMPL
41576-012,PROMOTING ENVIROMENTAL COMPLIANCE AND EFORCEMENT IN ASIA,6419,TA,FIN COMPL
39343-012,PROMOTING CLIMATE CHANGE ADAPTATION IN ASIA AND THE PACIFIC,6420,TA,FIN COMPL
41062-012,MAINSTREAMING ENVIROMENT FOR POVERTY REDUCTION,6422,TA,FIN COMPL
41683-012,ENHANCING EFFECTIVE REGULATION OF WATER & ENERGY INFRASTRUCTURE & UTIL,6424,TA,ACTIVE
41092-012,KNOWLEDGE-SHARNG PRGRM USING GOOD ASIAN PRACTICES IN INNOVATION & DEVT,6426,TA,FIN COMPL
41678-012,A REGIONAL REVIEW OF THE ECONOMICS OF CLIMATE IN SOUTHEAST ASIA,6427,TA,FIN COMPL
40308-012,PROMOTING RURAL WOMEN'S ETREPRENEURSHIP IN TRANSITION ECONOMIES,6431,TA,FIN COMPL
41522-012,PRIVATE SECTOR-LED INTEGRATION & FREE TRADE AGREEMENTS IN SOUTH ASIA,6432,TA,FIN COMPL
40054-013,SASEC REGIONAL INFORMATION&COMMUNICATION TECH RESEARCH&TRNG NETWORK,6433,TA,ACTIVE
40015-012,INTEGRATED TRADE FACILITATION SUPPORT FOR CENTRAL ASIA REGL ECO COOP,6437,TA,FIN COMPL
41138-012,IMPLEMENTATION OF THE TECH SUPPORT FACILITY UNDER THE CARBON MRKT INIT,6438,TA,FIN COMPL
