,Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
4425,World Bank,World Bank,World Bank,2014,2014,0416 (CG3),0416,47314-001,,,KIR,Strengthening Fiscal Stability Program,PARD,SPSO,11/28/2014,,,,,0.00,8.20,,,8.20,DVA,PS,Collaborative,Multilateral,Grant,,3600.0,Public Sector Management,"3602, 3607",Public Expenditure and Fiscal Management,,,,No,,11/28/2014,,,,,Sovereign,,,,,,0416
4428,World Bank,World Bank,World Bank,2015,2015,0442 (CG3),0442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.00,1.50,,,1.50,DVA,PS,Collaborative,Multilateral,Grant,,3600.0,Public Sector Management,"3602, 3607",Public Expenditure and Fiscal Management,,,,No,,09/30/2015,,,,,Sovereign,,,,,,0442
4434,World Bank,World Bank,World Bank,2015,2015,0458 (CG1),0458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0.00,16.00,,,16.00,DVA,PS,Collaborative,Multilateral,Grant,,4000.0,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,,0458
4742,World Bank,World Bank,World Bank,2009,2009,2562 (CL2),2562,41121,M0024,,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,,,,,0.00,,"2,125.00",,"2,125.00",DVA,Others,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,10/07/2009,04/13/2010,,,,Sovereign,,,,Ref PFR,"DR 2011. para on FCA, pp 11.",2562
4748,World Bank,World Bank,World Bank,2010,2010,2701 (CL3),2701/2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,,,,,0.00,,"1,200.00",,"1,200.00",DVA,PS,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11.",2701
4752,World Bank,World Bank,World Bank,2010,2010,2718 (CG3),2718,44281-013,,,KIR,Road Rehabilitation,PARD,SPSO,12/10/2010,,,,,0.00,16.00,,,16.00,DVA,PS,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,12/10/2010,08/26/2011,,,,Sovereign,,,,Collaborative loan $16.0m.,"DR 2010. para on new proj of the year, pp 14.",2718
4756,World Bank,World Bank,World Bank,2015,2015,2718 (CG4),2718,44281-013,,,KIR,Road Rehabilitation (Supplementary),PARD,SPSO,06/23/2015,,,,,0.00,6.00,,,6.00,DVA,PS,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,Yes,,06/23/2015,,,,,Sovereign,,,,"change classification of WB cof from ""grant"" to ""loan"" per final SOP. ","DR 2010. para on new proj of the year, pp 14.",2718
4765,World Bank,World Bank,World Bank,2011,2011,2761 (CL),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,,300.00,,300.00,DVA,,Collaborative,Multilateral,Loan,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
4771,World Bank,World Bank,World Bank,2013,2013,3008 (CL),3008/3009,39293-037,,,SRI,Education Sector Development Program,SARD,SAHS,06/27/2013,,,,,0.00,,100.00,,100.00,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,,Education Sector Development,,,,No,,06/27/2013,,,,,Sovereign,,,,,,3008
4774,World Bank,World Bank,World Bank,2013,2013,3045 (CL),3045/3046,42180-013,,,BAN,Second Public-Private Infrastructure Development Facility,SARD,SAPF,10/17/2013,,,,,0.00,,99.50,,99.50,DVA,Others,Collaborative,Multilateral,Loan,,3300.0,Finance,,,,,,No,,10/17/2013,,,,,Sovereign,,,,,,3045
4777,World Bank,World Bank,World Bank,2013,2013,3047 (CL),3047,44213-016,0074,,BAN,Secondary Education Sector Investment Program - Tranche 1,SARD,SAHS,10/21/2013,,,,,0.00,,100.00,,100.00,DVA,Others,Collaborative,Multilateral,Loan,,3100.0,Education,3103,Upper Secondary Education,,,,No,,10/21/2013,,,,,Sovereign,,,,,,3047
4780,World Bank,World Bank,World Bank,2013,2013,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0.00,,300.00,,300.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,,,,,,3068
4783,World Bank,World Bank,World Bank,2014,2014,3100 (CL),3100/0472,46420-003,,,PHI,KALAHI-CIDSS National Community-Driven Development,SERD,SEHS,06/23/2014,,,,,0.00,,479.00,,479.00,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,3107,Pre-Primary and Primary,,,,,,06/23/2014,,,,Approved,Sovereign,,,,,,3100
4786,World Bank,World Bank,World Bank,2014,2014,3119 (CL2),3119/3120,42251-018,,,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,,,,,0.00,,100.00,,100.00,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,,Technical Education and Vocational Skills Training,,,,No,,03/28/2014,,,,,Sovereign,,,,,,3119
4789,World Bank,World Bank,World Bank,2014,2014,3126 (CL),3126,47015-001,,,PAK,Sustainable Energy Sector Reform Program ﾖ Subprogram 1,CWRD,CWEN,04/24/2014,,,,,0.00,,600.00,,600.00,DVA,,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Sector Development,,,,No,,04/24/2014,,,,Approved,Sovereign,,,,,,3126
4795,World Bank,World Bank,World Bank,2014,2014,3227 (CL),3227/3228,47293-001,,,VIE,Improving Competitiveness Program,SERD,VRM,11/28/2014,,,,,0.00,,250.00,,250.00,DVA,PS,Collaborative,Multilateral,Loan,,3600.0,Public Sector Management,,Economic Affairs Management,,,,No,,11/28/2014,,,,,Sovereign,,,,,,3227
4798,World Bank,World Bank,World Bank,2015,2015,3256 (CL),3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.00,,400.00,,400.00,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,,,3256
4801,World Bank,World Bank,World Bank,2015,2015,3279 (CG),3279/3280,47137-003,,,LAO,Health Sector Governance Program,SERD,SEHS,09/18/2015,,,,,0.00,13.20,,,13.20,DVA,PS,Collaborative,Multilateral,Grant,,3400.0,Health,,,,,,No,,09/18/2015,,,,Approved,Sovereign,,,,,,3279
4802,World Bank,World Bank,World Bank,2015,2015,3279 (CL),3279/3280,47137-003,,,LAO,Health Sector Governance Program,SERD,SEHS,09/18/2015,,,,,0.00,,13.20,,13.20,DVA,PS,Collaborative,Multilateral,Loan,,3400.0,Health,,,,,,No,,09/18/2015,,,,Approved,Sovereign,,,,,,3279
4804,World Bank,World Bank,World Bank,2015,2015,3303 (CL),3303/8293,49043-001,,,,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0.00,,500.00,,500.00,DVA,,Collaborative,Multilateral,Loan,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,,,,No,,09/30/2015,,,,,Sovereign,,,,,,3303
4809,World Bank,World Bank,World Bank,2015,2015,3320 (CL),3320,44213-017,,,BAN,Secondary Education Sector Investment ProgramﾗTranche 2,SARD,SAHS,11/20/2015,,,,,0.00,,265.00,,265.00,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,3113,Education Sector Development,,,,No,,11/20/2015,,,,,Sovereign,,,,,,3320
4812,World Bank,World Bank,World Bank,2015,2015,3321 (CL),3321/3322,47015-002,,,PAK,Sustainable Energy Sector Reform ProgramﾗTranche 2 ,CWRD,CWEN,11/20/2015,,,,,0.00,,500.00,,500.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,11/20/2015,,,Yes,,11/20/2015,,,,Approved,Sovereign,,,,,,3321
4815,World Bank,World Bank,World Bank,2015,2015,8297 (CL),3339/8297,49080-001,,,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,,,,,0.00,,500.00,,500.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,,,,,No,,12/02/2015,,,,Approved,Sovereign,,,,,,3339
4818,World Bank,World Bank,World Bank,2015,2015,3346/3347,3346/3347,46382,,,PAL,North Pacific Regional Connectivity InvestmentﾗAdditional Financing,PARD,PAUS,12/11/2015,,,,,0.00,,22.50,,22.50,DVA,PS,Collaborative,Multilateral,Loan,,4000.0,Information and Communication Technology,,,,,,Yes,,12/11/2015,,,,Approved,Sovereign,,,,,,3346
4821,World Bank,World Bank,World Bank,2016,2016,3369,3369,43407-014,,,PHI,Social Protection SupportﾖAdditional Financing,SERD,SEHS,02/09/2016,,,,,0.00,,450.00,,450.00,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,3113,Education Sector Development,,,,Yes,,02/09/2016,02/15/2016,,,Approved,Sovereign,,,,,,3369
4824,World Bank,World Bank,World Bank,2016,2016,,3393/0479,48361-001,,,TON,Building Macroeconomic ResilienceﾖSubprogram 1,PARD,PAUS,05/30/2016,,,,,0.00,,1.00,,1.00,DVA,PS,Collaborative,Multilateral,Loan,,3600.0,Public Sector Management,3602,Public Expenditure and Fiscal Management,,,,No,,05/30/2016,,,,Approved,Sovereign,,,,,,3393
4825,World Bank,World Bank,World Bank,2016,2016,,3393/0479,48361-001,,,TON,Building Macroeconomic ResilienceﾖSubprogram 1,PARD,PAUS,05/30/2016,,,,,0.00,1.00,,,1.00,DVA,PS,Collaborative,Multilateral,Grant,,3600.0,Public Sector Management,3602,Public Expenditure and Fiscal Management,,,,No,,05/30/2016,,,,Approved,Sovereign,,,,,,3393
