,,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Cofinance Amount/ Total CF,Approved Cofin Amt,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,Proc Arrangement,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,U.K.,2002,2002,,1940/G3994,32430,,,CAM,Health Sector Support,SERD,,11/21/2002,0,20,0,,20,11.84,,,11.84,,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/21/2002,02/28/2003,,10/22/2009,,Sovereign,,Successful,,,,
,U.K.,2003,2003,4209(L),2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,0,100,0,,100,150,,,150,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,11/03/2003,04/19/2004,,07/22/2012,,Sovereign,,Successful,,,) ADB admin.,"DR 2009, Case Study: Improving Primary Education in Bangladesh, pp 14-15"
,U.K.,2004,2004,4505(L),2144/2145/4505(L),32264,,,PAK,Punjab Devolved Social Services Program,CWRD,SASS,12/20/2004,75,75,0,,150,30,,,30,,DVA,PS,Full Administration,Bilateral,Grant,"OCR,ADF",3900,Multisector,3900,,,,,,,12/20/2004,10/27/2005,,06/05/2009,,Sovereign,,Partly successful,,,ADB admin $30 million for the Program and an additional $20 m for a piggy-backed TA(#4504).,
,U.K.,2004,2004,,2123,,,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,0,6.4,0,,6.4,36,,,36,,Non-DVA,,,Bilateral,Grant,ADF,3600,Public Sector Management,,,,,,,,12/09/2004,,,,,Sovereign,,,,,20 million British pound.,
,U.K.,2005,2005,3,2163/2164/0003,34152,,,INO,Community Water Services and Health,SERD,SESS,04/07/2005,34.1,30.59,0,,64.69,7.5,,,7.5,,DVA,PS,Full Administration,Bilateral,Grant,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,04/07/2005,04/12/2006,,,,Sovereign,,Partly Successful,,,,
,U.K.,2005,2005,10,2172/0008/0009/0010,36296,,,BAN,Second Urban Primary Health Care,SARD,SASS,05/31/2005,0,30,10,,30,25,,,25,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,05/31/2005,07/01/2005,,,,Sovereign,,Highly Successful,,,UKG Grant #0010,"DR 2011. Case Study Briefs: Grant cofinancing, pp 17."
,U.K.,2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,0,15,0,,15,35.9,,,35.9,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,11/03/2005,,,,,Sovereign,,,,,20 m pounds.,
,U.K.,2006,2006,53,2254/0053,36224-01,,,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,0,96.1,0,,96.1,56.7,,,56.7,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,08/18/2006,,,,,Sovereign,,,,,"$56.7 admin grant, $4.2 non DVA grant",
,U.K.,2006,2006,,2254/0053,36224,,,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,0,96.1,0,,96.1,4.2,,,4.2,,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,08/18/2006,12/05/2006,,,,Sovereign,,,,,"$56.7 admin grant, $4.2 non DVA grant",
,U.K.,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0,15,0,,15,37,,,37,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,,20 million pounds.,
,U.K.,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,40,,,40,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,,Grants 20 m pounds.,
,U.K.,2008,2008,93,0093/8234,,,,NEP,Rural Reconstruction and Rehabilitation Sector Development (Supplementary),SARD,,11/11/2008,0,0,0,,0,20,,,20,,DVA,,Partial Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,11/11/2008,08/29/1972,,12/08/1976,,Sovereign,,Successful,,,partial admin based on advise from Central Service Unit ,
,U.K.,2008,2008,3994(L),1940/G3994,32430,,,CAM,Health Sector Support (Supplementary),SERD,SESS,03/31/2008,0,0,0,,0,1.8,,,1.8,1.8,DVA,PS,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,03/31/2008,02/28/2003,,10/22/2009,,Sovereign,,Successful,,,Additional grant financing of $1.8m from DFID 3994(L). Ref in grant financing paper,
,U.K.,2008,2008,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,0,,106.3,,0,30,,,30,,Non-DVA,,,Bilateral,Grant,ADF,3600,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,,Successful,,,,DR 2010. para on governance pp 41.
,U.K.,2009,2009,170,0167/0170,42091,,,AFG,Water Resources Development Investment Program - Tranche 1,CWRD,CWER,10/06/2009,0,0,86.6,,0,3.3,,,3.3,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3000,Agriculture and Natural Resources,,,,,,,,10/06/2009,01/08/2010,,,,Sovereign,,,,,,"DR 2012. line in CWRD section, pp 8."
,U.K.,2011,2011,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,65,,0,4,,,4,,DVA,,Collaborative,Bilateral,Grant,,3100,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,DR 2011. para on grant cof and new proj pp 15.
,U.K.,2011,2011,277,9135/0277/0382/0406,38097-013,,,NEP,Establishing Women and Children Service Centers (Supplementary),SARD,SAHS,05/18/2011,,,,,0,0.2,,,0.2,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3400,Health and Social Protection,3405,Social Protection,,,,Yes,,05/18/2011,,,,,Sovereign,Joint,,,,,
,U.K.,2011,2011,281,0280/0281/0282,42094,,,AFG,Energy Sector Development Investment Program ﾖ Tranche 3,CWRD,CWEN,12/22/2011,,,43,,0,20,,,20,,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Renewable Energy,,,,,,12/22/2011,03/20/2012,,,,Sovereign,,,,,,
,U.K.,2011,2011,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,320,,,320,190,,,190,,DVA,,Collaborative,Bilateral,Grant,ADF,3100,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,,,,,Sovereign,,,,,,"DR 2011. para on grant cof pp 13,15."
,U.K.,2012,2012,306,0305-0306/0368,36172-063,,,NEP,Strengthening Public Management Program,SARD,SAPF,09/26/2012,,,21,,0,4,,,4,,DVA,PS,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,Decentralization,,,,No,,09/26/2012,,,,Under Administration,Sovereign,,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
,U.K.,2015,2015,434,3121/0434,40075-033,,,PAK,National Trade Corridor Highway Investment ProgramﾗTranche 2 ,CWRD,PRM,07/31/2015,117.6,,,,117.6,82.4,,,82.4,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,Road Transport (Non-Urban),,,,,,07/31/2015,,,,,Sovereign,Joint,,,,,
,U.K.,2015,2015,435,3197/0435,40075-043,,,PAK,National Trade Corridor Highway Investment ProgramﾗTranche 3 ,CWRD,CWTC,07/31/2015,87.8,,,,87.8,39.2,,,39.2,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,Road Transport (Non-Urban),,,,,,07/31/2015,,,,,Sovereign,Joint,,,,,
,U.K.,2015,2015,440,3300/0440,48402-001,,,PAK,National Motorway M-4 GojraﾖShorkot Section,CWRD,CWTC,09/30/2015,178,,,,178,92,,,92,,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,Road Transport (Non-Urban),06/25/2015,,,No,,09/30/2015,,,,,Sovereign,Joint,,,,"ﾣ58,850,000 in the Pres.' Recommendation. PECP MoU signed on 25 June 2015. DFID's approval to cofinance M4 received on 21 July 2015 (email ref. Saad Paracha).",
,"U.K.,DFID",2014,2014,406,9135/0277/0382/0406,38097-013,,,NEP,Establishing Women and Children Service Centers ﾖ Additional Financing,SARD,SAHS,03/25/2014,,,,,0,3.2,,,3.2,,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3400,Health and Social Protection,3405,Social Protection,,,,Yes,,03/25/2014,,,,,Sovereign,,,,,,
,"U.K.,DFID",2015,2015,451,3134/0451,47281-001,,,PAK,National Highway Network Development in Balochistan,CWRD,CWTC,11/03/2015,122.6,,,,122.6,72.4,,,72.4,72.4,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,06/25/2015,,,No,,11/03/2015,,,,Approved,Sovereign,Joint,,,,,
U.S.A.,U.S.A.,,,,,,,,,,,,,878,324.3,0,0,1202.3,10.53,206.27,0,216.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U.S.A.,1970,1970,,33,36252,,,INO,Pusri Fertilizer Plant Expansion,SERD,SERD,06/04/1970,0,10,0,,10,,24,,24,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,06/04/1970,,,,,Sovereign,,,,,,
,U.S.A.,1975,1975,,217,44236-01,,,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,0,30,0,,30,,30,,30,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,02/20/1975,,,,,Sovereign,,,,,,
,U.S.A.,1979,1979,,396,,,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,0,25,0,,25,,23,,23,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,04/26/1979,,,,,Sovereign,,,,,,
,U.S.A.,1983,1983,,660,,,,PAK,Guddu Combined Cycle,CWRD,,11/01/1983,0,140.9,0,,140.9,,52,,52,,Non-DVA,,,Bilateral,Loan,ADF,3200,Energy,,,,,,,,11/01/1983,,,,,Sovereign,,,,,,
,U.S.A.,1986,1986,,824,,,,PAK,WAPDA Tenth Power (Sector),CWRD,,11/01/1986,150,0,0,,150,,60,,60,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,11/01/1986,,,,,Sovereign,,,,,,
,U.S.A.,1990,1990,,1070,,,,BAN,Small and Cottage Industry,SARD,,12/18/1990,0,30,0,,30,,0.27,,0.27,,Non-DVA,,,Bilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,12/18/1990,,,,,Sovereign,,,,,,
,U.S.A.,1990,1990,,1071,,,,BAN,Agriculture and Rural Credit,SARD,SAGF,11/01/1990,0,60,0,,60,,3,,3,,Non-DVA,,,Bilateral,Loan,ADF,3300,Finance,,,,,,,,11/01/1990,,,,,Sovereign,,,,,,
,U.S.A.,1992,1992,,1161,,,,IND,Power Efficiency (Sector),SARD,,11/01/1992,250,0,0,,250,,14,,14,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,11/01/1992,,,,,Sovereign,,,,,,
,U.S.A.,1994,1994,,1311,,,,NEP,Irrigation Management Transfer,SARD,SAAE,11/01/1994,0,8.45,0,,8.45,4.6,,,4.6,,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/01/1994,,,,,Sovereign,,,,,"Ref PCR, Dec07 adj ADB amount from $12.91 to 8.45; USAID from loan to grant $3.0 to $4.6.",
,U.S.A.,1998,1998,,1605,,,,INO,Central Sulawesi Integrated Area Dev & Conservation,SERD,SEAE,01/27/1998,32,0,0,,32,1.37,,,1.37,,Non-DVA,,,Bilateral,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,01/27/1998,,,,,Sovereign,,,,,Adj USAID and The Nature Conservancy was changed to USAID/TNC (from US/TND 3.2 to 1.37) ref PCR Oct08. File to OAS Aug10.,
,U.S.A.,1998,1998,,1663-1665,,,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,271,0,0,,271,0.89,,,0.89,,Non-DVA,,,Bilateral,Grant,OCR,3700,Transport and ICT,,,,,,,,12/16/1998,,,,,Sovereign,,Partly successful,,,,
,U.S.A.,1999,1999,,1694,,,,RMI,Ebeye Health and Infrastructure,PARD,,08/12/1999,0,9.25,0,,9.25,0.47,,,0.47,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,08/12/1999,,,,,Sovereign,,,,,,
,U.S.A.,2000,2000,,1739,,,,PHI,Grains Sector Development Program,SERD,SERD,04/24/2000,100,0,0,,100,0.6,,,0.6,,Non-DVA,,,Bilateral,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,04/24/2000,,,,,Sovereign,,,,,,
,U.S.A.,2000,2000,,1746,,,,PHI,Pasig River Environmental Management and Rehabilitation SDP (Investment Loan),SERD,,07/20/2000,75,0,0,,75,0.5,,,0.5,,Non-DVA,,,Bilateral,Grant,OCR,3000,Agriculture and Natural Resources,,,,,,,,07/20/2000,,,,,Sovereign,,,,,,
,U.S.A.,2004,2004,,2146,30403,,,PRC,Coal Mine Methane Development,EARD,EAEN,12/20/2004,,,,,0,0.5,,,0.5,,Non-DVA,,,Bilateral,Grant,OCR,3200,Energy,,,,,,,,12/20/2004,,,,,Sovereign,,Highly Successful,,,,"DR 2009, Case Study: From Deadly Gas to Clean Fuel pp 6-7"
,U.S.A.,2009,2009,155,2114/0155,37644,,,TAJ,Regional Customs Modernization and Infrastructure Development,CWRD,CWPF,08/12/2009,0,10.7,0,,10.7,1.6,,,1.6,,DVA,,Full Administration,Bilateral,Grant,ADF,3500,Industry and Trade,,,,,,,,08/12/2009,05/01/2005,,12/12/2011,,Sovereign,,Succesful,,, RELATED TO TAJ-2114 APPROVED 26 NOV 2004. ,
WFP,WFP,,,,,,,,,,,,,0,55.7,0,0,55.7,1.1,0,0,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WFP,2000,2000,,1824,,,,CAM,Emergency Flood Rehabilitation,SERD,SEOC,12/21/2000,0,55.7,0,,55.7,1.1,,,1.1,,Non-DVA,,,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,12/21/2000,,,,,Sovereign,,,,,Parallel financing from World Food Program.  Adj Dec06 PCR from $2 to $1.1.,
WFPF-SFPTF,WFPF-SFPTF,,,,,,,,,,,,,500,112,0,0,612,4.9,0,0,4.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WFPF-SFPTF,2014,2014,395,3133/0394/0395/8284,44212-013,,,BAN,Coastal Towns Environmental Infrastructure,SARD,SAUW,06/27/2014,,52,,,52,1.6,,,1.6,1.6,DVA,CFA/TF,Full Administration,Private Sector,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,10/25/2013,,,No,,06/27/2014,,,,,Sovereign,Joint,,,,,
,WFPF-SFPTF,2014,2014,405,3157/0405/8304,35173-013,,,NEP,Third Small Towns Water Supply and Sanitation Sector,SARD,SAUW,09/19/2014,,60,,,60,1.3,,,1.3,,DVA,CFA/TF,Full Administration,Private Sector,Grant,,3800,Water and Other Urban Infrastructure and Services,,"Urban Policy, Institutional and Capacity Development, Urban Water Supply, Urban Sanitation",08/25/2014,,,No,,09/19/2014,,,,,Sovereign,Joint,,,,,
,WFPF-SFPTF,2014,2014,413,3182/3183/0413,42267-026,,,IND,Rajasthan Urban Sector Development Program,SARD,SAUW,10/24/2014,500,,,,500,2,,,2,2,DVA,CFA/TF,Full Administration,Private Sector,Grant,,3800,Water and Other Urban Infrastructure and Services,,"Urban Sewerage, Urban Policy, Institutional and Capacity Development, Urban Water Supply, Urban Sanitation",10/13/2014,,,No,,10/24/2014,,,,,Sovereign,Joint,,,,,
WHO,WHO,,,,,,,,,,,,,0,177.9,0,0,177.9,3.28,0,0,3.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WHO,1980,1980,,504,,,,BAN,Public Health Program,SARD,,12/22/1980,0,15.6,0,,15.6,0.15,,,0.15,,Non-DVA,,,Multilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,12/22/1980,,,,,Sovereign,,,,,,
,WHO,2000,2000,,1777,,,,VIE,Rural Health,SERD,SESS,11/09/2000,0,68.3,0,,68.3,0.3,,,0.3,,Non-DVA,,,Multilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/09/2000,,,,,Sovereign,,,,,,
,WHO,2005,2005,,0025-0027,,,,REG,GMS: Regional Communicable Diseases Control,SERD,SESS,11/21/2005,0,30,0,,30,0.9,,,0.9,,Non-DVA,,,Multilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/21/2005,,,,,Sovereign,,,,,,
,WHO,2010,2010,236,236,,,,MON,Fourth Health Sector Development,EARD,,11/29/2010,0,14,0,,14,0.45,,,0.45,,Non-DVA,,,Multilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/29/2010,,,,,Sovereign,,,,,,
,WHO,2011,2011,,2785/0259/8274,41509-013,,,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,,20,,,20,1,,,1,,Non-DVA,,,Multilateral,Grant,ADF,3400,Health and Social Protection,,Health Systems,,,,,,09/30/2011,,,,,Sovereign,,,,,,"DR 2011. new proj pp 15, 17."
,WHO,2012,2012,,2963,45009-002,,,MON,Fifth Health Sector Development,EARD,EASS,12/10/2012,,30,,,30,0.48,,,0.48,,DVA,PS,Collaborative,Multilateral,Grant,,3400,Health and Social Protection,,Health Systems,,,,No,,12/10/2012,,,,,Sovereign,,,,,,"DR 2012. para in EARD section on New Joint Initiatives, pp 12."
World Bank,World Bank,,,,,,,,,,,,,10085.85,4090.73,121.6,0,14176.58,181.77,20115.5,0,20297.27,2749.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Bank,1970,1970,,33,36252,,,INO,Pusri Fertilizer Plant Expansion,SERD,SERD,06/04/1970,0,10,0,,10,,35,,35,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,06/04/1970,,,,,Sovereign,,,,,,
,World Bank,1973,1973,171,0171-0172,40641,,,PAK,Multan Fertilizer,CWRD,,12/19/1973,0,27,0,,27,,35,,35,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,12/19/1973,,,,,Sovereign,,,,,,
,World Bank,1973,1973,,137,,,,THA,Bangkok Water Supply,SERD,SESS,07/24/1973,19.6,0,0,,19.6,,55,,55,,Non-DVA,,,Multilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,07/24/1973,,,,,Sovereign,,,,,,
,World Bank,1975,1975,,217,44236-01,,,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,0,30,0,,30,,33,,33,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,02/20/1975,,,,,Sovereign,,,,,,
,World Bank,1978,1978,,345,,,,FIJ,Second Power,PARD,PARD,06/29/1978,16.2,0,0,,16.2,,15.6,,15.6,,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,06/29/1978,,,,,Sovereign,,,,,,
,World Bank,1978,1978,,351,,,,PHI,Second Manila Water Supply,SERD,,09/07/1978,49,0,0,,49,,85,,85,,Non-DVA,,,Multilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,09/07/1978,,,,,Sovereign,,,,,,
,World Bank,1979,1979,,396,,,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,0,25,0,,25,,29,,29,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,04/26/1979,,,,,Sovereign,,,,,,
,World Bank,1980,1980,,457,,,,PHI,Manila Sewerage,SERD,,06/24/1980,42.8,0,0,,42.8,,63,,63,,Non-DVA,,,Multilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,06/24/1980,,,,,Sovereign,,,,,,
,World Bank,1980,1980,,459,,,,INO,Second Java EHV Transmission,SERD,SEID,06/26/1980,60.7,0,0,,60.7,,90.5,,90.5,,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,06/26/1980,,,,,Sovereign,,,,,,
,World Bank,1980,1980,,485,,,,SAM,Agricultural Development,PARD,,11/27/1980,0,3,0,,3,,2,,2,,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/27/1980,,,,,Sovereign,,,,,,
,World Bank,1980,1980,,505,,,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,0,67,0,,67,,45,,45,,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/22/1980,,,,,Sovereign,,,,,,
,World Bank,1980,1980,,508,,,,SOL,Development Bank of Solomon Islands,PARD,,12/22/1980,0,2,0,,2,,1.5,,1.5,,Non-DVA,,,Multilateral,Loan,ADF,3300,Finance,,,,,,,,12/22/1980,,,,,Sovereign,,,,,,
,World Bank,1981,1981,,541,,,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/01/1981,0,72,0,,72,,15,,15,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,11/01/1981,,,,,Sovereign,,,,,,
,World Bank,1982,1982,,570,,,,PAK,Telecommunications,CWRD,,06/17/1982,29,0,0,,29,,40,,40,,Non-DVA,,,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,06/17/1982,,,,,Sovereign,,,,,,
,World Bank,1982,1982,,587,15076,,,BAN,Ashuganj Thermal Power Generation,SARD,,10/21/1982,,,,,0,,92,,92,,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,10/21/1982,,,,,Sovereign,,,,,,
,World Bank,1982,1982,,613,,,,THA,Second Power System Expansion,SERD,SEID,12/09/1982,81.6,0,0,,81.6,,4.96,,4.96,,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,12/09/1982,,,,,Sovereign,,,,,,
,World Bank,1983,1983,,632,,,,VAN,Agricultural Extension and Training,PARD,,08/04/1983,0,1.1,0,,1.1,,2,,2,,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,08/04/1983,,,,,Sovereign,,,,,,
,World Bank,1983,1983,,646,,,,SOL,Agricultural Development,PARD,,10/29/1983,0,7.75,0,,7.75,,3.5,,3.5,,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/29/1983,,,,,Sovereign,,,,,,
,World Bank,1984,1984,,680,,,,PHI,Agricultural Inputs Program,SERD,SEAE,03/27/1984,130,0,0,,130,,150,,150,,Non-DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,03/27/1984,,,,,Sovereign,,,,,,
,World Bank,1984,1984,,700,17055,,,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,0,122,0,,122,,150,,150,,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/25/1984,,,,,Sovereign,,S,,,,
,World Bank,1984,1984,,704,,,,SOL,Guadalcanal Road Improvement,PARD,,11/06/1984,0,2,0,,2,,2,,2,,Non-DVA,,,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,11/06/1984,,,,,Sovereign,,,,,,
,World Bank,1984,1984,,707,,,,SAM,Development Bank of Western Samoa V,PARD,,11/15/1984,0,4,0,,4,,2,,2,,Non-DVA,,,Multilateral,Loan,ADF,3300,Finance,,,,,,,,11/15/1984,,,,,Sovereign,,,,,,
,World Bank,1984,1984,,712,,,,SRI,Plantation Sector,SARD,SAAE,12/04/1984,0,45,0,,45,,55,,55,,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/04/1984,,,,,Sovereign,,,,,,
,World Bank,1985,1985,,739,,,,FIJ,Second Fiji Development Bank,PARD,,07/16/1985,7,0,0,,7,,6.5,,6.5,,Non-DVA,,,Multilateral,Loan,OCR,3300,Finance,,,,,,,,07/16/1985,,,,,Sovereign,,,,,,
,World Bank,1985,1985,,752,18155,,,SAM,Multiproject Loan,PARD,,11/19/1985,0,4.4,0,,4.4,,2.5,,2.5,,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,11/19/1985,,,,,Sovereign,,GS,,,Multiproject Loan (cofinanced with OPEC Fund in 1991),
,World Bank,1985,1985,,761,,,,PAK,Second Telecommunications,CWRD,,11/28/1985,69,0,0,,69,,100,,100,,Non-DVA,,,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,11/28/1985,,,,,Sovereign,,,,,,
,World Bank,1985,1985,,766,,,,VAN,Multi-Project,PARD,,12/05/1985,0,3,0,,3,,2,,2,,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,12/05/1985,,,,,Sovereign,,,,,,
,World Bank,1986,1986,,793,,,,PAK,Karachi Urban Development,CWRD,,10/14/1986,0,55.2,0,,55.2,,69.87,,69.87,,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,10/14/1986,,,,,Sovereign,,,,,,
,World Bank,1986,1986,,813,,,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,0,5.4,0,,5.4,,3,,3,,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/14/1986,,,,,Sovereign,,,,,,
,World Bank,1986,1986,,824,,,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,150,0,0,,150,,100,,100,,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,12/18/1986,,,,,Sovereign,,,,,,
,World Bank,1987,1987,,873,,,,SRI,Small and Medium Industries,SARD,,12/08/1987,0,15,0,,15,,15,,15,,Non-DVA,,,Multilateral,Loan,ADF,3500,Industry and Trade,,,,,,,,12/08/1987,,,,,Sovereign,,,,,,
,World Bank,1988,1988,,896,,,,SRI,Development Financing II,SARD,SAGF,08/04/1988,0,40,0,,40,,40,,40,,Non-DVA,,,Multilateral,Loan,ADF,3300,Finance,,,,,,,,08/04/1988,,,,,Sovereign,,,,,,
,World Bank,1989,1989,,943,,,,THA,Second Highway (Sector),SERD,,01/12/1989,110,0,0,,110,,87,,87,,Non-DVA,,,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,01/12/1989,,,,,Sovereign,,,,,,
,World Bank,1989,1989,,957,,,,PAK,Flood Damage Restoration,CWRD,SAAE,03/30/1989,0,44,0,,44,,40,,40,,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,03/30/1989,,,,,Sovereign,,,,,,
,World Bank,1989,1989,,960,,,,SAM,Second Telecommunications,PARD,,06/01/1989,0,7.4,0,,7.4,,4.6,,4.6,,Non-DVA,,,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,06/01/1989,,,,,Sovereign,,,,,,
