Donor,Cofinancier/ Source,Approval Year,Approval Numbers,Product Approval Number,Proj No,Country Mnemonic,Project Title,Source,TA-Type,CF Mode,Bank,JSF,CF Amnt,Approval Date CF,Approval Date Bank,Date of Agreement Letter,Approval Date Bank.1,Approval Date CF.1,DMC,Department,Division,Donor Type,TA-Type.1,Type of Cofinancing,AgreementType,Source Type,Sector Code,Sector,Sub Sector Code,Sub Sector,Date of Agreement Letter.1,Theme 1,Theme 2,Theme 3,Theme 4,SubTheme 1,SubTheme 2,SubTheme 3,SubTheme 4,Publications,TCR Rating,Validation Rating,TPER Rating
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2001,5956,,3352901,REG,Identifying Disability Issues Related to Poverty Reduction (Suppl.),Second Finnish Technical Assistance Grant Fund,,E,,,300,12 Apr 1999,,12 Apr 1999,10/09/2001,04/12/1999,REG,SDCC,SDGG,Single Donor,RE,E,C,,3400,Health and Social Protection,3405,Social Protection,,,,,,,,,,,S,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2003,4231,,3653201,TAJ,Institutional Development for Improved Environmental Strategic Planning and Policy,Second Finnish Technical Assistance Grant Fund,,E,,,220, ,, ,12/02/2003,,TAJ,ECRD,ECAE,Single Donor,AD,E,C,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,,,,,,,,,S,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2003,6155,,3710501,REG,Capacity Building in Environmental Information Mgmt Systems in Central Asia,Second Finnish Technical Assistance Grant Fund,,E,,,800, ,, ,12/18/2003,,REG,CWRD,CWAE,Single Donor,RE,E,C,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,,,,,,,,,PS,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2005,4709,,3959801,UZB,Rural Renewable Energy Devt. Project,Second Finnish Technical Assistance Grant Fund,,E,,,300, ,, ,12/02/2005,,UZB,CWRD,CWID,Single Donor,PP,E,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Environmental Sustainability,,,Widening Access To Markets and Economic Opportunities,Eco-Efficiency,,,,PS,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2005,4711,,3953701,VIE,Implementation of the Environmental Mgt Plan for the Son LaHydropower Project,Second Finnish Technical Assistance Grant Fund,,E,,,800, ,, ,12/02/2005,,VIE,SERD,SEEW,Single Donor,AD,E,C,,3200,Energy,3214,Energy Efficiency and Conservation,,Environmental Sustainability,Capacity Development,,,"Natural Resources Conservation,Environmental Policy And Legislation",,,,,,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2005,4713,,3953601,VIE,Capacity Building in the Strategic Environmental Assessment of the Hydropower Sector,Second Finnish Technical Assistance Grant Fund,,E,,,475, ,, ,12/05/2005,,VIE,SERD,SEID,Single Donor,AD,E,C,,3200,Energy,3202,Large Hydropower,,Environmental Sustainability,Capacity Development,,,"Natural Resources Conservation,Environmental Policy And Legislation",,,,,,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2005,4726,,3962201,AZE,Renewable Energy Development Project,Second Finnish Technical Assistance Grant Fund,,E,500,,200, ,, ,12/12/2005,,AZE,CWRD,CWID,Single Donor,PP,E,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Environmental Sustainability,,,Widening Access To Markets and Economic Opportunities,Eco-Efficiency,,,,PS,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2005,6291,,,REG,Rolling Out Air Quality Management in Asia,Second Finnish Technical Assistance Grant Fund,,E,,,655, ,, ,12/19/2005,,REG,SDCC,SDES,Single Donor,RE,E,C,,3700,Transport and ICT,3711,Urban Transport,,Environmental Sustainability,Regional Cooperation and Integration,Governance,,Urban Environmental Improvement,,,,"DR 2012. para in Partnering across Regions section on Partnership Results, pp 26.",S,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2005,6292,,3934001,REG,Promoting Environmental Investment in Asia & the Pacific,Second Finnish Technical Assistance Grant Fund,,E,200,,200, ,, ,12/19/2005,,REG,SDCC,SDES,Single Donor,RE,E,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Economic Growth,Environmental Sustainability,Private Sector Development,,,,,,,Successful,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2006,4766,,3923601,BHU,Accelerated Rural Electrification,Second Finnish Technical Assistance Grant Fund,,J,400,,300, ,, ,02/28/2006,,BHU,SARD,SAEN,Single Donor,AD,J,C,,3200,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,Successful,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2007,4994,,3818303,SAM,Implementing the Samoa National Energy Policy,Second Finnish Technical Assistance Grant Fund,,J,600,,350, ,, ,11/21/2007,,SAM,PARD,PAHQ,Single Donor,AD,J,C,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,Economic Growth,,,,,,,,"DR 2012. para for FIN CFA, pp59.",Successful,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2007,7037,,4143502,CAM,Tonle Sap Poverty Reduction & Smallholder Devt Project,Second Finnish Technical Assistance Grant Fund,,J,200,,300, ,, ,12/14/2007,,CAM,SERD,SEAE,Single Donor,PP,J,C,,3000,Agriculture and Natural Resources,3014,Agriculture and Rural Sector Development,,Economic Growth,Social Development,Environmental Sustainability,,,,,,,,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2008,6471,,4207301,REG,Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific (Phase 1),Second Finnish Technical Assistance Grant Fund,,E,,,550, ,, ,07/18/2008,,REG,PARD,PAHQ,Single Donor,RE,E,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Economic Growth,Environmental Sustainability,,,,,,,"DR 2011. para on FIN TA, pp 39.",Successful,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2009,7227,,4232001,LAO,Small and Mini Hydroelectric Development Project,Second Finnish Technical Assistance Grant Fund,,E,,,1000,09 Jan 2009,, ,01/14/2009,01/09/2009,LAO,SERD,SEEW,Single Donor,PP,E,C,,3200,Energy,3202,Large Hydropower Generation,,Economic growth,Environmental Sustainability,,,,,,,,Successful,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2009,7305,,4203701,CAM,Tonle Sap Technology Demonstrations for Productivity Enhancement,Second Finnish Technical Assistance Grant Fund,,J,250,,2700,23 Dec 2008,, ,07/01/2009,12/23/2008,CAM,SERD,SEAE,Single Donor,CD,J,C,,3000,Agriculture and Natural Resources,3014,"Agricultural Policy, Institutional and Capacity Development",,Economic growth,,,,,,,,,Partly Successful,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2010,7504,,4329901,NEP,Increasing Access to Energy in Rural Nepal,Second Finnish Technical Assistance Grant Fund,,J,,,100,30 Apr 2009,,,03/05/2010,04/30/2009,NEP,SARD,SAEN,Single Donor,CD,J,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Social Development,Environmental Sustainability,Capacity Development,Widening Access To Markets and Economic Opportunities,Human Development,Natural Resources Conservation,Institutional Development,"DR 2010. para on new proj of the year, pp 12.",,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2010,7535,,4412601,REG,Strengthening the Asia Pacific Adaptation Network,Second Finnish Technical Assistance Grant Fund,,E,,,350,17 Nov 2009,,,05/20/2010,11/17/2009,REG,SDCC,SDES,Single Donor,R-RD,E,C,,3900,Multisector,3900,Multisector,,Environmental Sustainability,Regional Cooperation,,,,,,,,Highly Satisfactory,,
Second Finnish Technical Assistance Grant Fund,Second Finnish Technical Assistance Grant Fund,2013,8441,,47163-001,REG,Development and Dissemination of Climate-Resilient Rice Varieties for Water-Short Areas of South Asia and Southeast Asia,Second Finnish Technical Assistance Grant Fund,,J,,,620, ,,,09/05/2013,,REG,SDCC,SDCC-AR,Single Donor,R-RD,J,C,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Spain,,2002,3907,,3345901,PRC,Xi'an Urban Transport,SPA,,J,,,500,13 Jun 2002,,13 Jun 2002,08/27/2002,06/13/2002,PRC,ECRD,ECTC,Single Donor,PP,J,C,,3700,Transport and ICT,3711,Urban Transport,,,,,,,,,,,,,
Spain,,2002,3921,,3408001,PHI,Promotion Cleaner Production Technology,SPA,,J,400,,300,24 Jul 2002,,24 Jul 2002,09/06/2002,07/24/2002,PHI,SERD,SEID,Single Donor,AD,J,C,,3500,Industry and Trade,3502,Large and Medium Industries,,,,,,,,,,,,,
Spain,,2002,3987,,3318201,TAJ,Strengthening Corporate & Financial Governance Reforms,SPA,,E,,,480,13 Jun 2002,,13 Jun 2002,11/15/2002,06/13/2002,TAJ,ECRD,ECGF,Single Donor,AD,E,C,,3300,Finance,3315,Finance Sector Development,,,,,,,,,,,PS,,
Spain,,2002,4014,,3534001,PRC,Fuzhou Environmental Improvement Project (Formerly Fujian Fuzhou Wastewater Treatment II,SPA,,E,,,600,22 Mar 2002,,22 Mar 2002,12/05/2002,03/22/2002,PRC,ECRD,ECSS,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3802,Waste Management,,,,,,,,,,,,,
Spain,,2004,4324,,3764101,PRC,Hunan Flood Management,SPA,,J,150,,550, ,, ,03/29/2004,,PRC,EARD,EAAE,Single Donor,PP,J,C,,3000,Agriculture and Natural Resources,3011,"Irrigation,Drainage,and Flood Protection",,,,,,,,,,,,,
Spain,,2004,4335,,3541901,PRC,Town-Based Urbanization Strategy Study,SPA,,J,250,,500, ,, ,05/06/2004,,PRC,EARD,PRCM,Single Donor,AD,J,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,,,,,,,,,,HS,,
Spain,,2004,4393,,3806001,MON,Establishing Effective Anti-Money Laundering Regime,SPA,,J,214,,286, ,, ,09/17/2004,,MON,EARD,EARG,Single Donor,AD,J,C,,3300,Finance,3301,Banking Systems,,,,,,,,,,"DR 2012. para for SPA CFA, pp59.",S,,
Spain,,2005,4677,,3922301,CAM,Financial Sector Blueprint Update,SPA,,E,,,150, ,, ,10/31/2005,,CAM,SERD,SEGF,Single Donor,AD,E,C,,3300,Finance,3315,Finance Sector Development,,Economic Growth,Private Sector Development,Governance,,,,,,,,,
Spain,,2006,4813,,,PRC,Strengthening Flood Mgt Sustainability in Hunan Province,SPA,,E,,,500, ,, ,06/29/2006,,PRC,EARD,EAAE,Single Donor,AD,E,C,,3000,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,"Economic growth,Economic Growth",Environmental Sustainability,,,,,,,,,,
Spain,,2006,4873,,3917201,PRC,Logistics Development & Cap Bldg in Xinjiang Uyguyr Autonomous Region,SPA,,E,,,425, ,, ,11/22/2006,,PRC,EARD,EAFM,Single Donor,AD,E,C,,3500,Industry and Trade,3504,Trade and Services,,Economic Growth,Regional Cooperation and Integration,,,,,,,,Successful,,
Spain,,2007,4381,,,INO,Integrated Citarum Water Resources Management,SPA,,J,460,,250, ,, ,09/17/2007,,INO,SERD,SAAE,Single Donor,PP,J,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Economic Growth,Environmental Sustainability,,,,,,,,,,
Spain,,2007,4976,,4035501,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,SPA,,J,800,,200, ,, ,10/01/2007,,VIE,SERD,SETU,Single Donor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3813,"Urban Policy, Institutional and Capacity Development",,Economic Growth,Social Development,Regional Cooperation and Integration,Private Sector Development,,,,,,,,
Spain,,2007,6438,,41138-012,REG,Implementation of the Technical Support Facility under the CMI,SPA,,J,,,1000, ,, ,12/18/2007,,REG,SDCC,SDAS,Single Donor,R-RD,J,PS,,3200,Energy,3214,Energy Efficiency and Conservation,,Economic Growth,Environmental Sustainability,,,,,,,,Highly Successful,,
Spain,,2007,7024,,4107701,VIE,Supporting the Energy Efficiency Program Implementation Project,SPA,,J,,,425, ,, ,12/12/2007,,VIE,SERD,SEEW,Single Donor,AD,J,C,,3200,Energy,3214,Energy Efficiency and Conservation,,Economic Growth,Environmental Sustainability,,,,,,,"DR 2012. para for Coop Fund for GMS, pp56.",Partly Successful,,
Spain,,2008,6293,,,REG,Managing the Cities in Asia,SPA,,E,,,2000, ,, ,09/22/2008,,REG,SDCC,SDAS,Single Donor,RE,E,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Policy,,Economic Growth,"Governance,Environmental Sustainability","Environmental Sustainability,Governance",,Developing urban areas,Economic and Financial governance,Urban Environmental Improvement,,,,,
Spain,,2010,7551,,,GEO,Developing a Geospatial Urban Water Supply and Sanitation Utility Management Systes,SPA,,E,,,800,29 Apr 2010,,,06/23/2010,04/29/2010,GEO,CWRD,CWUS,Single Donor,CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Social Development,Environmental Sustainability,Capacity Development,,Human Development,Urban Environmental Improvement,Institutional Development,,,,,
Spain,,2010,7559,,4418302,GEO,Regional Power Transmission Enhancement Project,SPA,,J,350,,850,13 Jul 2010,,,07/28/2010,07/13/2010,GEO,CWRD,CWEN,Single Donor,PP,J,C,,3200,Energy,3211,Electricity Transmission and Distribution,,Economic Growth,Regional Cooperation and Integration,,,Promoting macroeconomic stability,Trade and Investments,,,,,,
Spain,,2011,7551,,4353101,GEO,Developing a Geospatial Urban Water Supply and Sanitation Utility Management System (Supplementary),SPA,,E,,,600, ,,,12/13/2011,,GEO,CWRD,CWUW,Single Donor,CD,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Social Development,Environmental Sustainability,Capacity Development,,,,,,,,,
Spain,,2011,7780,,4311401,LAO,National Integrated Water Resources Management Support,SPA,,J,,,600,07 Oct 2010,,,02/16/2011,10/07/2010,LAO,SERD,SEER,Single Donor,CD,J,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Capacity Development,Environmental Sustainability,Governance,,Institutional Development,Natural Resources Conservation,"Public Administration (National,Decentralized,Regional)",,,,,
Spain,,2011,7846,,4512002,UZB,Design and Strengthening of the Solar Energy Institute,SPA,,E,,,225,14 Jul 2011,,,08/15/2011,07/14/2011,UZB,CWRD,CWEN,Single Donor,S-CD,E,C,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,Economic Growth,,,,"Knowledge,Science,And Technological Capacities",,,,,Highly Successful,,
Spain,,2012,8120,,4625801,REG,Grid Integration of Renewable Energy Sources and Solar Energy Technology ,SPA,,,,,130,08 Jul 2012,,,07/23/2012,07/08/2012,REG,SDCC,SDAS,Single Donor,S-CD,,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,,,
Spain,,2012,8135,,4630801,PHI,Design of a Pilot Project to Improve Environmental Conditions of Estero de Paco,SPA,,,,,220, ,,,08/08/2012,,PHI,SERD,SEUW,Single Donor,S-CD,,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Environmental Sustainability,,,,Urban Environmental Improvement,,,,,,,
Spain,,2013,6470,,41063-012,REG,Managing Water in Asia's River Basins: Charting Progress and Facilitating Investment (Supplementary),SPA,,,2000,,70,25 Jan 2013,,,01/28/2013,01/25/2013,REG,SDCC,SDAS,Single Donor,R-CD,,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,Economic Growth,Environmental Sustainability,Regional Cooperation and Integration,,,,,,,,,
Spain,Spain,2014,8223,,46173-001,REG,Supporting the Use of Carbon Financing to Promote Green Growth in Asia and the Pacific (Supplementary),Spain,,J,,,115, ,,,12/04/2014,,REG,SDCC,SDAS,Single Donor,R-CD,J,C,,3900,Multisector,3900,Multisector,,,,,,,,,,,,,
"Norway,Sweden",,2008,6337,,40124-012,REG,Development Partnership Program for South Asia,NOR,,J,,,300, ,, ,02/13/2008,,REG,SARD,NRM,Single Donor,R-CD,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Economic Growth,Regional Cooperation and Integration,Governance,,,,,,,,,
Sweden,,1989,5339,,,REG,Economic Policies for Sustainable Dev: Implementing the Brundtland Commission Recommendations in Selected DMCs,SWE,,J,600,,100,07 Feb 1989,,07 Sep 1989,05/12/1989,02/07/1989,REG,OESD,ENVD,Single Donor,RE,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,,,
Sweden,,1993,1866,,n/a,CAM,Transport Rehabilitation Study,SWE,,J,,,719.4,11 Mar 1993,,19 Jun 1993,03/31/1993,03/11/1993,CAM,IWD,IWTC,Single Donor,AD,J,PS,,3700,Transport and ICT,,,,,,,,,,,,,,,
Sweden,,1993,1878,,n/a,CAM,Project Management Coordination and Project Implementation in the Power and Education Sectors ,SWE,,E,,,3200,11 Mar 1993,, ,04/23/1993,03/11/1993,CAM,OCRP,PW3,Single Donor,AD,E,PS,,3900,Multisector,,,,,,,,,,,,,,,
Sweden,,1993,1889,,n/a,CAM,Emergency Training of Teachers,SWE,,E,,,1300,11 Mar 1993,,19 Jun 1993,05/14/1993,03/11/1993,CAM,AWD,AWEH,Single Donor,AD,E,PS,,3100,Education,,,,,,,,,,,,,,,
Sweden,,1993,5552,,n/a,REG,Coastal and Marine Environmental Management in South China Sea,SWE,,J,600,,1750,24 Sep 1993,,07 Dec 1992,10/29/1993,09/24/1993,REG,OESD,ENVD,Single Donor,RE,J,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,GS,,
Sweden,,1994,2241,,2663601,CAM,Strengthening the Institutional and Legal Framework for the Energy and Mineral Sectors,SWE,,J,145,,450,11 Mar 1993,,26 Jun 1995,12/14/1994,03/11/1993,CAM,IWD,IWEN,Single Donor,AD,J,PS,,3200,Energy,,,,,,,,,,,,,,,
Sweden,,1994,5535,,2661302,REG,"Promoting Subregional Cooperation among Cambodia, the People's Republic of China, Lao PDR, Myanmar, Thailand and Viet Nam",SWE,,J,500,,760,16 May 1994,,23 Jan 1995,09/30/1994,05/16/1994,REG,MKRD,MKOC,Single Donor,RE,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,GS,,
Sweden,,1996,5712,,2966501,REG,"Coastal and Marine Environmental Management in the South China Sea, Phase II",SWE,,E,,,2700,20 Sep 1996,,25 Mar 1997,12/13/1996,09/20/1996,REG,SDCC,SDES,Single Donor,RE,E,PS,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,GS,,
Sweden,,1997,2959,,3029001,VIE,Preparation of a Development Strategy for the Central Region of Viet Nam,SWE,,J,498,,400,04 Mar 1998,,27 Apr 1999,12/22/1997,03/04/1998,VIE,MKRD,MKOC,Single Donor,AD,J,PS,,3600,Public Sector Management,,,,,,,,,,,,,,,
Sweden,,1999,5831,,3300601,REG,Water Resources Management in Southeast Asia,SWE,,E,,,149.6,18 Feb 1999,,16 Mar 1999,02/10/1999,02/18/1999,REG,AWD,AWFN,Single Donor,RE,E,PS,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,,,
Sweden,,2002,3830,,3434201,VIE,Assessment & Strength of Coastal Management Institutions,SWE,,E,,,250,04 Nov 2002,,04 Nov 2002,02/01/2002,11/04/2002,VIE,MKRD,MKAE,Single Donor,AD,E,PS,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,HS,,
Sweden,,2002,3857,,3500601,SRI,Restructuring the Power Sector Phase II,SWE,,J,800,,250,10 Jul 2002,,10 Jul 2002,04/15/2002,07/10/2002,SRI,SARD,SAEN,Single Donor,AD,J,PS,,3200,Energy,3215,Energy Sector Development,,,,,,,,,,,U,,
Sweden,,2004,4421,,3728001,SRI,Implementing Products and Services for the Domestic Debt Market,SWE,,J,500,,1200, ,, ,10/26/2004,,SRI,SARD,SAFM,Single Donor,AD,J,PS,,3300,Finance,3315,Finance Sector Development,,,,,,,,,,,Partly Successful,,
Sweden,,2004,6016,,3527201,REG,Clean Air Initiatives for Asian Cities ,SWE,,J,,,434, ,, ,04/12/2004,,REG,SDCC,SDES,Single Donor,RE,J,PS,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,,,,,,,,,,HS,,
Sweden,,2004,6077,,,REG,Road Safety in the Association of Southeast Asian Nations ,SWE,,J,500,,304, ,, ,03/22/2004,,REG,SDCC,SDAS,Single Donor,RE,J,PS,,3700,Transport and ICT,3704,Air Transport,,,,,,,,,,,S,,
Sweden,,2004,6167,,3806801,REG,Study on Cooperation Opportunities between ADB and Mekong River Commission,SWE,,E,,,45, ,, ,02/13/2004,,REG,MKRD,MKAE,Single Donor,RE,E,PS,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,,,
Sweden,,2005,6289,,3902501,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS,SWE,,J,1220,,10000, ,, ,12/16/2005,,REG,SERD,SEAE,Single Donor,RE,J,PS,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,Economic Growth,Environmental Sustainability,Regional Cooperation and Integration,,,"Natural Resources Conservation,Global And Regional Transboundary Environmental Issues,Environmental Policy And Legislation",,,,,,
Sweden,,2006,6291,,3934201,REG,Rolling Out Air Quality Management in Asia,SWE,,J,,,2430,16 Dec 2005,, ,12/11/2006,12/16/2005,REG,SDCC,SDES,Single Donor,RE,J,PS,,3700,Transport and ICT,3711,Urban Transport,,Environmental Sustainability,Regional Cooperation and Integration,Governance,,Urban Environmental Improvement,,,,,S,,
Sweden,,2007,6293,,,REG,Managing the Cities in Asia,SWE,,E,980,,5000, ,, ,12/12/2007,,REG,SDCC,SDAS,Single Donor,RE,E,PS,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Policy,,Economic Growth,"Governance,Environmental Sustainability","Environmental Sustainability,Governance",,Developing urban areas,Economic and Financial governance,Urban Environmental Improvement,,,,,
Sweden,,2007,6440,,4101801,REG,Facilitating Regional Power Trading & Environmentally Sustainable Devt of Electricity Infrastructure in GMS,SWE,,E,,,5000, ,, ,12/19/2007,,REG,SERD,SEEW,Single Donor,RE,E,PS,,3200,Energy,3201,Conventional Energy Generation,,Economic Growth,Regional Cooperation and Integration,,,,,,,,Successful,,
Sweden,,2008,6291,,,REG,Rolling Out Air Quality Management in Asia,SWE,,E,,,484.63, ,, ,10/07/2008,,REG,SDCC,SDES,Single Donor,RE,E,PS,,3700,Transport and ICT,3711,Urban Transport,,Environmental Sustainability,Regional Cooperation and Integration,Governance,,Urban Environmental Improvement,,,,"DR 2012. para in Partnering across Regions section on Partnership Results, pp 26.",S,,
Sweden,,2009,7407,,4356101,REG,Small Scale TA on Managing Climate Impacts on Health in Water and Agriculture Sectors and Disaster Risk Reduction,SWE,,E,,,140, ,, ,12/09/2009,,REG,SDCC,SDGG,Single Donor,R-PA,E,PS,,3400,Health and Social Protection,3412,Health Programs,,Environmental Sustainability,Governance,Regional Cooperation,Social Development,,,,,,Successful,,
Sweden,,2010,6293,,,REG,Managing the Cities in Asia,SWE,,J,,,1365,10 Dec 2009,, ,02/01/2010,12/10/2009,REG,SDCC,SDAS,Single Donor,R-RD,J,PS,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Policy,,Economic Growth,"Governance,Environmental Sustainability","Environmental Sustainability,Governance",,Developing urban areas,Economic and Financial governance,Urban Environmental Improvement,,,,,
Sweden,,2011,6289,,3902501,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS (Supplementary) 2,SWE,,J,,,1086.08,14 Dec 2010,,,04/12/2011,12/14/2010,REG,SERD,SEAE,Single Donor,R-RD,J,PS,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,,,,,,,,,,,
Sweden,,2011,6293,,,REG,Managing the Cities in Asia (Supplementary),SWE,,J,,,2330,10 Dec 2010,,,05/16/2011,12/10/2010,REG,SDCC,SDAS,Single Donor,R-RD,J,PS,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Policy,,Economic Growth,Governance,Environmental Sustainability,,,,,,,,,
Sweden,,2011,7627,,4415804,REG,Enabling Climate Change Responses in Asia and the Pacific - Capacity Development to Address Climate Change (Subproject 3) (Supplementary),SWE,,E,,,100,14 Jan 2011,,,01/18/2011,01/14/2011,REG,SDCC,RSDD-CC,Single Donor,CD,E,PS,,3900,Multisector,3900,Multisector,,Environmental Sustainability,Capacity Development,Regional Cooperation and Integration,Social Development,Natural Resources Conservation,Institutional Development,Other Regional Public Goods,Other vulnerable groups,,,,
Sweden,,2012,7987,,44323-012,REG,"Core Environment Program and Biodiversity Conservation Corridors Initiative in the Greater Mekong Subregion, Phase 2 (Supplementary)",SWE,,,,,8300, ,,,12/05/2012,,REG,SERD,SEER,Single Donor,R-CD,,PS,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,Environmental Sustainability,,,,"Natural Resources Conservation,Environmental Policy And Legislation",,,,,,,
Sweden,,2012,8085,,45317-001,BAN,Support for the Third Primary Education Development Project,SWE,,,900,,700,02 Dec 2012,,,12/13/2012,12/02/2012,BAN,SARD,BRM,Single Donor,CD,,PS,,3100,Education,3101,Pre-Primary and Basic Education,,Social Development,Governance,Capacity Development,,Human Development,Anticorruption,Institutional Development,,,,,
Sweden,,2012,8163,,,REG,Implementing the Greater Mekong Subregion Core Agriculture Support Program (Phase 2),SWE,,,,,7500, ,,,09/14/2012,,REG,SERD,SEEN,Single Donor,R-PA,,PS,,3900,Multisector,3900,Multisector,,Regional Cooperation and Integration,Capacity Development,Economic Growth,Environmental Sustainability,"Trade and Investments,Other Regional Public Goods","Institutional Development,Client Relations,Network,And Partnership Development","Widening Access To Markets and Economic Opportunities,Knowledge,Science,And Technological Capacities",Natural Resources Conservation,,,,
Sweden,,2013,8550,,46240-001,REG,Inclusive Business Support,SWE,,J,400,,3100, ,,,12/10/2013,,REG,SDCC,SDGG,Single Donor,R-CD,J,PS,,3900,Multisector,3900,Multisector,,Social Development,Economic Growth,Private Sector Development,Capacity Development,Human Development,Widening Access To Markets and Economic Opportunities,Private Sector Investment,"Client Relations,Network,And Partnership Development",,,,
Sweden,,2013,8556,,47285-001,REG,Supporting the Cities Development Initiative for Asia,SWE,,J,,,7084, ,,,12/06/2013,,REG,SDCC,SDAS,Single Donor,CD,J,PS,,3900,Multisector,3900,Multisector,,Economic Growth,Environmental Sustainability,Private Sector Development,Capacity Development,,,,,,,,
"Sweden,MFDR",,2006,4860,,4051301,TAJ,Strengthening Results Mgt in Support of Poverty Reduction,SWE,,J,,,500, ,, ,10/30/2006,,TAJ,CWRD,TJRM,Single Donor,AD,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Economic Growth,Governance,,,,,,,,PS,,
"Sweden,Norway",,2008,6337,,40124-012,REG,Development Partnership Program for South Asia,SWE,,J,,,288, ,, ,02/13/2008,,REG,SARD,NRM,Single Donor,R-CD,J,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Economic Growth,Regional Cooperation and Integration,Governance,,,,,,,,,
"Sweden,Sweden",,2009,6291,,,REG,Rolling Out Air Quality Management in Asia,SWE,,J,,,12.22,07 Sep 2009,, ,09/25/2009,09/07/2009,REG,SDCC,SDES,Single Donor,RE,J,PS,,3700,Transport and ICT,3711,Urban Transport,,Environmental Sustainability,Regional Cooperation and Integration,Governance,,Urban Environmental Improvement,,,,"DR 2012. para in Partnering across Regions section on Partnership Results, pp 26.",S,,
