proj_no,approval_number,partner,year,approval_numbers_cofin,loan_grant_title,coms_proj_no,coms_proj_title,coms_project_title
47293-001,3228,World Bank,2014,3227/3228,Improving Competitiveness Program,not in CoMs,,not in CoMs
42334-014,3151,"France,AFD",2015,3151/401-2/466-7/8299-300,Rural Roads Improvement IIﾗAdditional Financing,not in CoMs,,not in CoMs
47127-002,3316,"France,AFD",2015,3316/0455,Mandalay Urban Services Improvement,not in CoMs,,not in CoMs
47127-002,0455,"France,AFD",2015,3316/0455,Mandalay Urban Services Improvement,47127-002,,MANDALAY URBAN SERVICES IMPROVEMENT PROJECT
40080-025,3363,"France,AFD",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,3364,"France,AFD",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,8302,"France,AFD",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,40080-025,,HA NOI METRO RAIL SYSTEM PROJ(LINE3:NHON-HA NOI STATION SECT)-ADD
49043-001,3303,AIF,2015,3303/8293,Sustainable and Inclusive Energy Program (Subprogram 1),not in CoMs,,not in CoMs
49043-001,8293,AIF,2015,3303/8293,Sustainable and Inclusive Energy Program (Subprogram 1),49043-001,,SUSTAINABLE AND INCLUSIVE ENERGY PROGRAM ( SUBPROGRAM 1)
46422-003,3310,AIF,2015,3310/8294,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,not in CoMs,,not in CoMs
46422-003,8294,AIF,2015,3310/8294,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,46422-003,,GMS EAST-WEST ECNMIC CORRIDOR EINDU TO KAWKAREIK ROAD IMPRVMNT PR
46443-003,3315,AIF,2015,3315/8296,Second Greater Mekong Subregion Corridors Towns Development,not in CoMs,,not in CoMs
46443-003,8296,AIF,2015,3315/8296,Second Greater Mekong Subregion Corridors Towns Development,46443-003,,SECOND GMS CORRIDOR TOWNS DEVELOPMENT PROJ
49080-001,3339,AIF,2015,3339/8297,Electricity Grid StrengtheningﾗSumatra Program,not in CoMs,,not in CoMs
49080-001,8297,AIF,2015,3339/8297,Electricity Grid StrengtheningﾗSumatra Program,49080-001,,RBL: ELECTRICITY GRID STRENGTHENING SUMATRA PROGRAM
39370-023,0126,AITF,2015,0126/0437,Agriculture Market InfrastructureﾗAdditional Financing,not in CoMs,,not in CoMs
39370-023,0437,AITF,2015,0126/0437,Agriculture Market InfrastructureﾗAdditional Financing,39370-023,,AGRICULTURE MARKET INFRASTRUCTURE PROJECT-ADDITION
47282-003,0464,AITF,2015,0464/0465,Energy Supply Improvement ProgramﾗTranche 1,not in CoMs,,not in CoMs
47282-003,0465,AITF,2015,0464/0465,Energy Supply Improvement ProgramﾗTranche 1,47282-003,,MFF:ENERGY SUPPLY IMPROVEMENT INVESTMENT PROGRAM-T
45041-002,3250,AsIF,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,not in CoMs,,not in CoMs
45041-002,0471,AsIF,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
45041-002,8303,AsIF,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
47127-002,3316,AsIF,2015,3316/0455,Mandalay Urban Services Improvement,not in CoMs,,not in CoMs
47127-002,0455,AsIF,2015,3316/0455,Mandalay Urban Services Improvement,47127-002,,MANDALAY URBAN SERVICES IMPROVEMENT PROJECT
46455-004,0414,Australia,2015,0414/0424/0443,Electricity Supply Security and SustainabilityﾗAdditional Financing,not in CoMs,,not in CoMs
46455-004,0424,Australia,2015,0414/0424/0443,Electricity Supply Security and SustainabilityﾗAdditional Financing,46455-002,,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO
46455-004,0443,Australia,2015,0414/0424/0443,Electricity Supply Security and SustainabilityﾗAdditional Financing,46455-002,,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO
46346-002,0438,Australia,2015,0438/0439,Ebeye Water Supply and Sanitation,not in CoMs,,not in CoMs
46346-002,0439,Australia,2015,0438/0439,Ebeye Water Supply and Sanitation,46346-002,,EBEYE WATER SUPPLY AND SANITATION PROJECT
47318-001,0442,Australia,2015,442,Strengthened Fiscal Sustainability Program,not in CoMs,,not in CoMs
45303-001,0336,"Australia,Australia",2015,336,Rural EnergyﾗAdditional Financing,45303-001,,RURAL ENERGY PROJECT
47320-001,0458,"Australia,Australia",2015,458,Samoa Submarine Cable,not in CoMs,,not in CoMs
44304-014,2686,"Australia,Australia",2015,2686/0226/0425,Microfinance Expansion ﾗ Additional Financing,not in CoMs,,not in CoMs
44304-014,0226,"Australia,Australia",2015,2686/0226/0425,Microfinance Expansion ﾗ Additional Financing,44304-013,,MICROFINANCE EXPANSION PROJECT
44304-014,0425,"Australia,Australia",2015,2686/0226/0425,Microfinance Expansion ﾗ Additional Financing,44304-013,,MICROFINANCE EXPANSION PROJECT - ADDL FIN
42334-014,3151,"Australia,Australia",2015,3151/401-2/466-7/8299-300,Rural Roads Improvement IIﾗAdditional Financing,not in CoMs,,not in CoMs
42361-014,2979,CEF-CEFPF,2015,2979/8264/0468,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing,not in CoMs,,not in CoMs
42361-014,8264,CEF-CEFPF,2015,2979/8264/0468,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing,42361-013,,MEDIUM-VOLTAGE SUB-TRANSMISSION EXPANSION SECTOR PROJECT
42361-014,0468,CEF-CEFPF,2015,2979/8264/0468,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing,42361-014,,MEDIUM-VOLTAGE SUB-TRANSMISSION EXPANSION SECTOR P
46535-001,3309,CEF-CEFPF,2015,3309/0452/0453,Strengthening Technical and Vocational Education and Training,not in CoMs,,not in CoMs
46535-001,0452,CEF-CEFPF,2015,3309/0452/0453,Strengthening Technical and Vocational Education and Training,not in CoMs,,not in CoMs
46535-001,0453,CEF-CEFPF,2015,3309/0452/0453,Strengthening Technical and Vocational Education and Training,46535-001,,STRENGTHENING TECHNICAL AND VOCATIONAL EDUCATION A
40080-025,3363,CTF,2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,3364,CTF,2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,8302,CTF,2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,40080-025,,HA NOI METRO RAIL SYSTEM PROJ(LINE3:NHON-HA NOI STATION SECT)-ADD
49263-001,3366,CTF,2015,3366/8301,Northeastern Thailand Wind Power,not in CoMs,,not in CoMs
49263-001,8301,CTF,2015,3366/8301,Northeastern Thailand Wind Power,not in CoMs,,not in CoMs
49238-001,8298,CTF,2015,8298,Off-Grid Prepaid Solar Leasing,not in CoMs,,not in CoMs
43452-023,0347,Denmark,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,not in CoMs,,not in CoMs
43452-023,0348,Denmark,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT
43452-023,0444,Denmark,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,not in CoMs,,not in CoMs
43452-023,0445,Denmark,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
43452-023,0446,Denmark,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
47281-001,3134,"U.K.,DFID",2015,3134/0451,National Highway Network Development in Balochistan,not in CoMs,,not in CoMs
47281-001,0451,"U.K.,DFID",2015,3134/0451,National Highway Network Development in Balochistan,N/A-N/A,,NATIONAL HIGHWAY NETWORK DEVELOPMENT IN BALOCHISTA
40080-025,3363,"France,DGT",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,3364,"France,DGT",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,8302,"France,DGT",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,40080-025,,HA NOI METRO RAIL SYSTEM PROJ(LINE3:NHON-HA NOI STATION SECT)-ADD
43452-023,0347,EC,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,not in CoMs,,not in CoMs
43452-023,0348,EC,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT
43452-023,0444,EC,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,not in CoMs,,not in CoMs
43452-023,0445,EC,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
43452-023,0446,EC,2015,0347/0348/0444/0445/0446,Outer Island Renewable EnergyﾗAdditional Financing,43452-022,,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN
46044-003,0456,EC,2015,0456/0457,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,46044-002,,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI
46044-003,0457,EC,2015,0456/0457,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,46044-002,,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI
42122-013,3256,EC,2015,3256,Third Primary Education DevelopmentﾗAdditional Financing,not in CoMs,,not in CoMs
42145-043,2993,EDB,2015,2993,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing,not in CoMs,,not in CoMs
43200-024,2783,EIB,2015,2783/2784,Bridge Replacement for Improved Rural Access Sector,not in CoMs,,not in CoMs
43200-024,2784,EIB,2015,2783/2784,Bridge Replacement for Improved Rural Access Sector,not in CoMs,,not in CoMs
45041-002,3250,EIB,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,not in CoMs,,not in CoMs
45041-002,0471,EIB,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
45041-002,8303,EIB,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
45148-008,3348,EIB,2015,3348/3349,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3,not in CoMs,,not in CoMs
45148-008,3349,EIB,2015,3348/3349,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3,not in CoMs,,not in CoMs
40080-025,3363,EIB,2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,3364,EIB,2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,8302,EIB,2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,40080-025,,HA NOI METRO RAIL SYSTEM PROJ(LINE3:NHON-HA NOI STATION SECT)-ADD
49043-001,3303,France,2015,3303/8293,Sustainable and Inclusive Energy Program (Subprogram 1),not in CoMs,,not in CoMs
49043-001,8293,France,2015,3303/8293,Sustainable and Inclusive Energy Program (Subprogram 1),49043-001,,SUSTAINABLE AND INCLUSIVE ENERGY PROGRAM ( SUBPROGRAM 1)
42334-014,3151,"France,AFD",2015,3151/401-2/466-7/8299-300,Rural Roads Improvement IIﾗAdditional Financing,not in CoMs,,not in CoMs
47127-002,3316,"France,AFD",2015,3316/0455,Mandalay Urban Services Improvement,not in CoMs,,not in CoMs
47127-002,0455,"France,AFD",2015,3316/0455,Mandalay Urban Services Improvement,47127-002,,MANDALAY URBAN SERVICES IMPROVEMENT PROJECT
40080-025,3363,"France,AFD",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,3364,"France,AFD",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,8302,"France,AFD",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,40080-025,,HA NOI METRO RAIL SYSTEM PROJ(LINE3:NHON-HA NOI STATION SECT)-ADD
40080-025,3363,"France,DGT",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,3364,"France,DGT",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,not in CoMs,,not in CoMs
40080-025,8302,"France,DGT",2015,3363/3364/8302,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,40080-025,,HA NOI METRO RAIL SYSTEM PROJ(LINE3:NHON-HA NOI STATION SECT)-ADD
40253-035,0433,GEF,2015,433,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing,40253-035,,GMS BIODIVERSITY CONSERVATION CORRIDORS PROJECT(AD
45041-002,3250,GEF,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,not in CoMs,,not in CoMs
45041-002,0471,GEF,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
45041-002,8303,GEF,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
49319-001,3331,GEF-LDCF,2015,3331/3332/0459/0460/0461,Cyclone Pam Road Reconstruction Project,not in CoMs,,not in CoMs
49319-001,3332,GEF-LDCF,2015,3331/3332/0459/0460/0461,Cyclone Pam Road Reconstruction Project,not in CoMs,,not in CoMs
49319-001,0459,GEF-LDCF,2015,3331/3332/0459/0460/0461,Cyclone Pam Road Reconstruction Project,not in CoMs,,not in CoMs
49319-001,0460,GEF-LDCF,2015,3331/3332/0459/0460/0461,Cyclone Pam Road Reconstruction Project,not in CoMs,,not in CoMs
49319-001,0461,GEF-LDCF,2015,3331/3332/0459/0460/0461,Cyclone Pam Road Reconstruction Project,49319-001,,CYCLONE PAM ROAD RECONSTRUCTION PROJECT
49043-001,3303,Germany,2015,3303/8293,Sustainable and Inclusive Energy Program (Subprogram 1),not in CoMs,,not in CoMs
49043-001,8293,Germany,2015,3303/8293,Sustainable and Inclusive Energy Program (Subprogram 1),49043-001,,SUSTAINABLE AND INCLUSIVE ENERGY PROGRAM ( SUBPROGRAM 1)
42362-013,3083,"Germany,KfW",2015,3083/8276,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,not in CoMs,,not in CoMs
42362-013,8276,"Germany,KfW",2015,3083/8276,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,42362-013,,JAVA-BALI 500-KILOVOLT POWER TRANSMISSION CROSSING
49232-001,3356,"Germany,KfW",2015,3356,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,not in CoMs,,not in CoMs
44426-016,3365,"Germany,KfW",2015,3365,Green Energy Corridor and Grid Strengthening Project,not in CoMs,,not in CoMs
42039-036,3374,"Germany,KfW",2015,3374,Power Transmission Investment Program-Tranche 3,not in CoMs,,not in CoMs
42122-013,3256,GPE,2015,3256,Third Primary Education DevelopmentﾗAdditional Financing,not in CoMs,,not in CoMs
41505-013,2699,HFPF-RMTF,2015,2699/0231/0448,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,not in CoMs,,not in CoMs
41505-013,0231,HFPF-RMTF,2015,2699/0231/0448,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,not in CoMs,,not in CoMs
41505-013,0448,HFPF-RMTF,2015,2699/0231/0448,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,not in CoMs,,not in CoMs
41507-013,2699,HFPF-RMTF,2015,2699/0232/0449,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,not in CoMs,,not in CoMs
41507-013,0232,HFPF-RMTF,2015,2699/0232/0449,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,41505-012,,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTROL
41507-013,0449,HFPF-RMTF,2015,2699/0232/0449,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,not in CoMs,,not in CoMs
41508-014,2699,HFPF-RMTF,2015,2699/0450,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,not in CoMs,,not in CoMs
41508-014,0450,HFPF-RMTF,2015,2699/0450,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,not in CoMs,,not in CoMs
44444-013,3225,"India,Indian Commercial Bank",2015,3225/3226,Second Green Power Development,not in CoMs,,not in CoMs
44444-013,3226,"India,Indian Commercial Bank",2015,3225/3226,Second Green Power Development,41507-012,,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTRL P
44444-013,3225,"India,Indian Commercial Bank",2015,3225/3226,Second Green Power Development,not in CoMs,,not in CoMs
44444-013,3226,"India,Indian Commercial Bank",2015,3225/3226,Second Green Power Development,not in CoMs,,not in CoMs
44318-026,3271,IsDB,2015,3271,Housing for Integrated Rural Development Investment ProgramﾗTranche 3,not in CoMs,,not in CoMs
42378-017,3350,IsDB,2015,3350,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3,41508-014,,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTRL P
46268-002,3186,Japan,2015,3186,Clean Energy Finance Investment ProgramﾗTranche 1 ,not in CoMs,,not in CoMs
49202-001,9180,Japan,2015,9180,Disaster Risk Reduction and Livelihood Restoration for Earthquake-Affected Communities,not in CoMs,,not in CoMs
46122-003,0409,"Japan,JFJCM",2015,0409/0410/0429,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,not in CoMs,,not in CoMs
46122-003,0410,"Japan,JFJCM",2015,0409/0410/0429,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,not in CoMs,,not in CoMs
46122-003,0429,"Japan,JFJCM",2015,0409/0410/0429,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,not in CoMs,,not in CoMs
49320-001,9181,"Japan,JFPR",2015,9181,Cycone Pam School Reconstruction,not in CoMs,,not in CoMs
49168-001,9182,"Japan,JFPR",2015,9182,Improving School Dormitory Environment for Primary Students in Western Region,not in CoMs,,not in CoMs
48216-001,9183,"Japan,JFPR",2015,9183,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park,49202-001,,DISASTER RISK REDUCTION & LIVELIHD RSTRTION 4 EART
48322-001,9184,"Japan,JFPR",2015,9184,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project,not in CoMs,,not in CoMs
46122-003,0409,"Japan,JFJCM",2015,0409/0410/0429,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,46122-003,,PREPARING OUTER ISLANDS FOR SUSTAINABLE ENERGY DEV
46122-003,0410,"Japan,JFJCM",2015,0409/0410/0429,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,46122-003,,POISED PROJ-PREPARING OUTER ISLANDS FOR SUST ENERG
46122-003,0429,"Japan,JFJCM",2015,0409/0410/0429,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing,49320-001,,CYCLONE PAM SCHOOL RECONSTRUCTION PROJECT
49320-001,9181,"Japan,JFPR",2015,9181,Cycone Pam School Reconstruction,49168-001,,IMPROVING SCHOOL DORMITORY ENV'T FOR PRIMARY STUD
49168-001,9182,"Japan,JFPR",2015,9182,Improving School Dormitory Environment for Primary Students in Western Region,48216-001,,INTEG LIVELIHOODS IMPROV&SUSTNLE TOURISM IN KHUVSG
48216-001,9183,"Japan,JFPR",2015,9183,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park,48322-001,,ECONOMIC EMPOWERMENT OF THE POOR & WOMEN IN EAST-W
48322-001,9184,"Japan,JFPR",2015,9184,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project,not in CoMs,,not in CoMs
42362-013,3083,"Germany,KfW",2015,3083/8276,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,46122-003,,PREPARING OUTER ISLANDS FOR SUSTAINABLE ENERGY DEV
42362-013,8276,"Germany,KfW",2015,3083/8276,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,46122-003,,POISED PROJ-PREPARING OUTER ISLANDS FOR SUST ENERG
49232-001,3356,"Germany,KfW",2015,3356,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,49320-001,,CYCLONE PAM SCHOOL RECONSTRUCTION PROJECT
44426-016,3365,"Germany,KfW",2015,3365,Green Energy Corridor and Grid Strengthening Project,49168-001,,IMPROVING SCHOOL DORMITORY ENV'T FOR PRIMARY STUD
42039-036,3374,"Germany,KfW",2015,3374,Power Transmission Investment Program-Tranche 3,48216-001,,INTEG LIVELIHOODS IMPROV&SUSTNLE TOURISM IN KHUVSG
44213-016,3047,Korea,2015,3047,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary),48322-001,,ECONOMIC EMPOWERMENT OF THE POOR & WOMEN IN EAST-W
33209-014,3124,Kuwait,2015,3124/8288,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing,not in CoMs,,not in CoMs
33209-014,8288,Kuwait,2015,3124/8288,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing,42362-013,,JAVA-BALI 500-KILOVOLT POWER TRANSMISSION CROSSING
34418-023,2200,"Netherlands,Netherlands",2015,2200/0036/3302/0441,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing,not in CoMs,,not in CoMs
34418-023,0036,"Netherlands,Netherlands",2015,2200/0036/3302/0441,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing,not in CoMs,,not in CoMs
34418-023,3302,"Netherlands,Netherlands",2015,2200/0036/3302/0441,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing,not in CoMs,,not in CoMs
34418-023,0441,"Netherlands,Netherlands",2015,2200/0036/3302/0441,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing,not in CoMs,,not in CoMs
40263-033,0127,New Zealand,2015,0127/0292/0293,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing,not in CoMs,,not in CoMs
40263-033,0292,New Zealand,2015,0127/0292/0293,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing,33209-013,,PARTLY ADMIN:COMMUNITY-MANAGED IRRIGATED AGRICULTURE SECTOR-ADDFI
40263-033,0293,New Zealand,2015,0127/0292/0293,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing,not in CoMs,,not in CoMs
47318-001,0442,New Zealand,2015,442,Strengthened Fiscal Sustainability Program,34418-013,,SW AREA INTEGRATED WATER RESOURCES PLANNING & MGT
42392-013,2820,New Zealand,2015,2820/3249/0273/0427,Interisland Shipping SupportﾗAdditional Financing,not in CoMs,,not in CoMs
42392-013,3249,New Zealand,2015,2820/3249/0273/0427,Interisland Shipping SupportﾗAdditional Financing,34418-023,,SW AREA INTEGRATED WATER RESOURCE PLANNING & MNGT
42392-013,0273,New Zealand,2015,2820/3249/0273/0427,Interisland Shipping SupportﾗAdditional Financing,40263-022,,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT
42392-013,0427,New Zealand,2015,2820/3249/0273/0427,Interisland Shipping SupportﾗAdditional Financing,40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-
46044-003,0456,"New Zealand,New Zealand",2015,0456/0457,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC
46044-003,0457,"New Zealand,New Zealand",2015,0456/0457,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,not in CoMs,,not in CoMs
45041-002,3250,OFID,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,not in CoMs,,not in CoMs
45041-002,0471,OFID,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,not in CoMs,,not in CoMs
45041-002,8303,OFID,2015,3250/0471/8303,Vientiane Sustainable Urban Transport,42392-013,,PART ADMIN-INTERISLAND SHIPPING SUPPORT PROJECT
44281-013,2718,PriF,2015,2718,Road Rehabilitation (Supplementary),42392-013,,PART ADMIN INTERISLAND SHIPPING SUPPORT PROJECT -
47051-002,3308,P.R.C.,2015,3308,Chemical Industry Energy Efficiency and Emission Reduction,46044-002,,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI
40253-033,0426,SCF-PPCR,2015,426,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing,46044-002,,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI
46495-002,0447,SCF-PPCR,2015,447,Building Climate Resilience to Climate Change in Papua New Guinea,not in CoMs,,not in CoMs
42334-014,3151,SCF-PPCR,2015,3151/401-2/466-7/8299-300,Rural Roads Improvement IIﾗAdditional Financing,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
42334-014,3151,SCF-PPCR,2015,3151/401-2/466-7/8299-300,Rural Roads Improvement IIﾗAdditional Financing,N/A-N/A,,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT
42285-013,3311,SCF-PPCR,2015,3311/0454/8295,Integrated Urban Environmental Management in the Tonle Sap Basin,not in CoMs,,not in CoMs
42285-013,0454,SCF-PPCR,2015,3311/0454/8295,Integrated Urban Environmental Management in the Tonle Sap Basin,not in CoMs,,not in CoMs
42285-013,8295,SCF-PPCR,2015,3311/0454/8295,Integrated Urban Environmental Management in the Tonle Sap Basin,40253-023,,GMS BIODIVERSITY CONSERVATION CORRIDORS PROJECT(AD
42285-013,3311,SCF-PPCR,2015,3311/0454/8295,Integrated Urban Environmental Management in the Tonle Sap Basin,46495-002,,BUILDING RESILIENCE TO CLIMATE CHANGE
42285-013,0454,SCF-PPCR,2015,3311/0454/8295,Integrated Urban Environmental Management in the Tonle Sap Basin,not in CoMs,,not in CoMs
42285-013,8295,SCF-PPCR,2015,3311/0454/8295,Integrated Urban Environmental Management in the Tonle Sap Basin,not in CoMs,,not in CoMs
47127-002,3316,UCCRTF,2015,3316/0455,Mandalay Urban Services Improvement,not in CoMs,,not in CoMs
47127-002,0455,UCCRTF,2015,3316/0455,Mandalay Urban Services Improvement,42285-013,,INTEGRATED URBAN ENVIRONMENTAL MGMT IN THE TONLE S
